"調查年度",93,"放養面積","(公頃)"
"魚種名稱","白蝦","放養數量","(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"全國","0","0","0","0","0","0","0","0"
"屏東縣","898","51","182.2300","22.8200","205.0500","10.06","218,640,114","39,389,000"
"臺南縣","910","614","382.8800","299.1100","681.9900","33.47","233,123,550","916,050,380"
"雲林縣","389","32","103.6500","11.8600","115.5100","5.67","101,967,000","104,840,900"
"嘉義縣","1,211","241","344.9300","83.8300","428.7600","21.04","386,580,000","472,253,300"
"高雄縣","533","42","140.5400","12.1900","152.7300","7.50","107,642,433","251,508,500"
"彰化縣","36","7","14.4700","0.8000","15.2700","0.75","14,335,000","7,000"
"臺南市","804","97","255.7700","73.0300","328.8000","16.14","156,931,650","165,841,000"
"宜蘭縣","584","21","100.4500","6.9600","107.4100","5.27","120,400,500","6,857,000"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","5","0","2.1900","0","2.1900","0.11","1,220,000","2,520,000"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"合　計","5,370","1,105","1,527.1100","510.6000","2,037.7100","100.00","1,340,840,247","1,959,267,080"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"室內","17","2","0.9300","4.8200","5.7500","0.28"
"室外","5,353","1,103","1,526.1800","505.7800","2,031.9600","99.72"
"兼有","0","0","0","0","0","0"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","45","5","10.3900","2.2300","12.6200","0.62"
"中間養成","1,604","537","490.8300","251.9800","742.8100","36.45"
"成魚養成","3,396","508","950.1100","241.0700","1,191.1800","58.46"
"蓄養可上市之成魚","325","55","75.7800","15.3200","91.1000","4.47"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","773","159","247.6500","72.6000","320.2500","19.36"
"鹹水","0","0","0","0","0","0"
"半淡鹹水","3,703","782","980.0700","353.6400","1,333.7100","80.64"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","11","1","3.1500","0.1100","3.2600","0.16"
"今年6月","75","15","18.7600","6.0400","24.8000","1.22"
"今年7月","319","70","84.7200","36.7700","121.4900","5.97"
"今年8月","1,407","140","395.3700","82.6600","478.0300","23.48"
"今年9月","1,469","496","462.1300","231.4000","693.5300","34.07"
"今年10月","661","194","172.2600","78.1900","250.4500","12.30"
"今年11月","577","85","163.5500","32.9600","196.5100","9.65"
"今年12月","442","55","114.0400","23.0000","137.0400","6.73"
"明年1月","142","10","36.8200","4.2100","41.0300","2.02"
"明年2月","117","24","36.6800","8.6300","45.3100","2.23"
"明年3月","59","4","15.1100","1.8100","16.9200","0.83"
"明年4月","27","5","9.5400","2.4200","11.9600","0.59"
"明年5月","11","3","3.0100","0.9800","3.9900","0.20"
"明年6月","10","0","1.6300","0","1.6300","0.08"
"明年7月","8","0","1.0100","0","1.0100","0.05"
"明年8月","7","1","2.6200","0.4400","3.0600","0.15"
"明年9月","4","0","0.9500","0","0.9500","0.05"
"明年10月","3","0","0.1700","0","0.1700","0.01"
"明年11月","12","0","4.1800","0","4.1800","0.21"
"明年12月","1","1","0.2700","0.1700","0.4400","0.02"
"後年","0","0","0","0","0","0"
