"調查年度",90,"放養面積","(公頃)"
"魚種名稱","石斑","放養數量","(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"全國","0","0","0","0","0","0","0","0"
"屏東縣","1,480","613","340.0618","231.8196","571.8814","42.15","36,638,450","8,237,000"
"臺南縣","522","85","206.7940","35.0967","241.8907","17.83","26,316,200","569,600"
"雲林縣","18","23","3.5046","20.5510","24.0556","1.77","116,500","388,300"
"嘉義縣","184","2","49.6810","1.3093","50.9903","3.76","19,219,600","73,000"
"高雄縣","1,277","17","270.3936","6.6545","277.0481","20.42","17,148,700","5,338,700"
"彰化縣","25","0","4.0038","0","4.0038","0.30","7,112,700","0"
"臺南市","325","192","141.4836","45.2416","186.7252","13.76","436,942,563","2,576,450"
"宜蘭縣","1","0","0.1032","0","0.1032","0.01","1,500","0"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","2","0","0.1259","0","0.1259","0.01","2,500","0"
"臺東縣","2","0","0.0632","0","0.0632","0.00","40,000","1,000"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"合　計","3,836","932","1,016.2147","340.6727","1,356.8874","100.00","543,538,713","17,184,050"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"室內","2","1","0.1019","0.3539","0.4558","0.03"
"室外","3,828","931","1,015.8542","340.3188","1,356.1730","99.95"
"兼有","6","0","0.2586","0","0.2586","0.02"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","959","11","275.5833","3.1039","278.6872","20.54"
"中間養成","732","270","174.7353","91.8694","266.6047","19.65"
"成魚養成","1,814","639","494.4236","242.3649","736.7885","54.30"
"蓄養可上市之成魚","331","12","71.4725","3.3345","74.8070","5.51"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","169","6","33.9415","2.1126","36.0541","7.85"
"鹹水","0","0","0","0","0","0"
"半淡鹹水","1,315","220","327.8939","95.1878","423.0817","92.15"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","5","0","0.9517","0","0.9517","0.07"
"今年6月","106","10","21.5774","3.1079","24.6853","1.82"
"今年7月","322","13","91.9918","6.8932","98.8850","7.29"
"今年8月","540","36","170.7662","15.7058","186.4720","13.74"
"今年9月","410","55","103.0601","15.3311","118.3912","8.73"
"今年10月","457","96","115.1309","30.0137","145.1446","10.70"
"今年11月","386","148","107.1831","42.4501","149.6332","11.03"
"今年12月","485","132","122.1082","49.8674","171.9756","12.67"
"明年1月","156","115","37.8427","43.3659","81.2086","5.98"
"明年2月","261","135","79.3577","49.5378","128.8955","9.50"
"明年3月","215","83","55.3700","32.8057","88.1757","6.50"
"明年4月","109","58","25.8982","23.7586","49.6568","3.66"
"明年5月","125","45","26.3207","24.1823","50.5030","3.72"
"明年6月","112","0","24.9983","0","24.9983","1.84"
"明年7月","53","0","12.8095","0","12.8095","0.94"
"明年8月","33","2","7.8605","1.2490","9.1095","0.67"
"明年9月","20","3","3.2970","2.2640","5.5610","0.41"
"明年10月","10","0","2.0078","0","2.0078","0.15"
"明年11月","3","0","0.6528","0","0.6528","0.05"
"明年12月","6","0","1.7529","0","1.7529","0.13"
"後年","22","1","5.2772","0.1402","5.4174","0.40"
