"調查年度",97,"放養面積","209.1637(公頃)"
"魚種名稱","草蝦","放養數量","141,958,460(尾、粒、隻)"
"所屬縣市","已完成調查魚塭口數",,,,,"魚塭面積(公頃)",,,,,"百分比(%)","放養量",,"養殖戶數",,,,,"養殖戶類別統計"
,"第一類(有水權)","第一類(無水權)","第二類","第三類","小計","第一類(有水權)","第一類(無水權)","第二類","第三類","小計",,"在池（尾、粒、隻）","新放養（尾、粒、隻）","第一類(有水權)","第一類(無水權)","第二類","第三類","小計","魚苗戶","養成戶"
"總　計","96","84","23","23","226","98.4737","85.7053","11.8020","13.1827","209.1637","100.00","0","141,958,460","96","84","23","23","226","0","0"
"屏東縣","1","1","0","1","3","2.0440","0.1708","0","0.7124","2.9272","1.40","0","3,900,000","1","1","0","1","3","0","0"
"臺南縣","7","3","2","1","13","6.3975","0.9050","0.8960","0.3300","8.5285","4.08","0","3,531,850","7","3","2","1","13","0","0"
"雲林縣","22","57","14","1","94","37.2813","52.5304","7.4789","0.8309","98.1215","46.91","0","85,781,510","22","57","14","1","94","0","0"
"嘉義縣","31","14","4","6","55","31.0451","23.3263","2.4584","2.6573","59.4871","28.44","0","29,415,100","31","14","4","6","55","0","0"
"高雄縣","0","1","0","2","3","0","0.2420","0","0.3607","0.6027","0.29","0","810,000","0","1","0","2","3","0","0"
"彰化縣","0","3","0","6","9","0","1.4434","0","2.8500","4.2934","2.05","0","3,740,000","0","3","0","6","9","0","0"
"臺南市","6","0","0","1","7","3.1753","0","0","0.6813","3.8566","1.84","0","2,100,000","6","0","0","1","7","0","0"
"宜蘭縣","29","5","3","2","39","18.5305","7.0875","0.9687","3.5622","30.1489","14.41","0","11,830,000","29","5","3","2","39","0","0"
"桃園縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","3","3","0","0","0","1.1979","1.1979","0.57","0","850,000","0","0","0","3","3","0","0"
"南投縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"預定收獲統計(經營型態=成魚養成)"
"預定收獲月份","魚塭口數","魚塭面積(公頃)","在池放養量(尾、粒、隻)","新放養量(尾、粒、隻)","預定收獲重量(公噸)"
"經營型態統計─口數、面積(公頃)"
"所屬縣市","無填寫",,"魚苗繁殖",,"中間養殖",,"成魚養成"
,"魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)"
"經營型態統計─放養量(尾、粒、隻)"
"所屬縣市","無填寫",,"魚苗繁殖",,"中間養殖",,"成魚養成"
,"在池","新放養","在池","新放養","在池","新放養","在池","新放養"
