"調查年度",92,"放養面積","(公頃)"
"魚種名稱","淡水鯰","放養數量","(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"全國","0","0","0","0","0","0","0","0"
"屏東縣","0","0","0","0","0","0","0","0"
"臺南縣","9","2","1.5000","0.8400","2.3400","26.50","497,500","7,600"
"雲林縣","0","0","0","0","0","0","0","0"
"嘉義縣","8","0","1.9400","0","1.9400","21.97","738,000","0"
"高雄縣","10","1","3.5100","0.4600","3.9700","44.96","2,320,000","13,000"
"彰化縣","2","0","0.5800","0","0.5800","6.57","78,000","1,000"
"臺南市","0","0","0","0","0","0","0","0"
"宜蘭縣","0","0","0","0","0","0","0","0"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"合　計","29","3","7.5300","1.3000","8.8300","100.00","3,633,500","21,600"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"室內","0","0","0","0","0","0"
"室外","29","3","7.5300","1.3000","8.8300","100.00"
"兼有","0","0","0","0","0","0"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","9","0","1.6400","0","1.6400","18.57"
"中間養成","6","0","0.8800","0","0.8800","9.97"
"成魚養成","12","3","4.8300","1.3000","6.1300","69.42"
"蓄養可上市之成魚","2","0","0.1800","0","0.1800","2.04"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","28","3","6.5500","1.3000","7.8500","100.00"
"鹹水","0","0","0","0","0","0"
"半淡鹹水","0","0","0","0","0","0"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","0","0","0","0","0","0"
"今年6月","1","0","0.4800","0","0.4800","5.44"
"今年7月","7","0","1.0800","0","1.0800","12.23"
"今年8月","1","0","0.3400","0","0.3400","3.85"
"今年9月","2","0","0.3800","0","0.3800","4.30"
"今年10月","5","0","0.9100","0","0.9100","10.31"
"今年11月","4","2","1.5700","0.8400","2.4100","27.29"
"今年12月","4","0","0.7000","0","0.7000","7.93"
"明年1月","3","0","1.5100","0","1.5100","17.10"
"明年2月","0","0","0","0","0","0"
"明年3月","0","1","0","0.4600","0.4600","5.21"
"明年4月","0","0","0","0","0","0"
"明年5月","2","0","0.5600","0","0.5600","6.34"
"明年6月","0","0","0","0","0","0"
"明年7月","0","0","0","0","0","0"
"明年8月","0","0","0","0","0","0"
"明年9月","0","0","0","0","0","0"
"明年10月","0","0","0","0","0","0"
"明年11月","0","0","0","0","0","0"
"明年12月","0","0","0","0","0","0"
"後年","0","0","0","0","0","0"
