"調查年度",89,"放養面積","(公頃)"
"魚種名稱","淡水鯰","放養數量","(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"全國","0","0","0","0","0","0","0","0"
"屏東縣","12","0","3.4135","0","3.4135","9.45","395,000","500"
"臺南縣","23","2","14.8027","0.6397","15.4424","42.75","852,400","22,800"
"雲林縣","14","0","2.6205","0","2.6205","7.25","99,000","9,300"
"嘉義縣","8","0","2.3595","0","2.3595","6.53","272,500","200"
"高雄縣","40","1","9.2445","0.5912","9.8357","27.23","1,631,000","856,930"
"彰化縣","8","0","1.3122","0","1.3122","3.63","983,800","5,850"
"臺南市","1","0","0.2953","0","0.2953","0.82","30,000","0"
"宜蘭縣","0","1","0","0.8449","0.8449","2.34","0","14,000"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"合　計","106","4","34.0482","2.0758","36.1240","100.00","4,263,700","909,580"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"室內","0","0","0","0","0","0"
"室外","106","4","34.0482","2.0758","36.1240","100.00"
"兼有","0","0","0","0","0","0"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","10","1","1.8225","0.5100","2.3325","6.46"
"中間養成","40","1","8.4785","0.8449","9.3234","25.81"
"成魚養成","39","1","19.5983","0.1297","19.7280","54.61"
"蓄養可上市之成魚","17","1","4.1489","0.5912","4.7401","13.12"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","103","3","32.7688","1.2309","33.9997","97.07"
"鹹水","0","0","0","0","0","0"
"半淡鹹水","2","0","1.0270","0","1.0270","2.93"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","0","0","0","0","0","0"
"今年6月","1","0","0","0","0","0"
"今年7月","6","0","2.3922","0","2.3922","6.62"
"今年8月","0","2","0","0.7209","0.7209","2.00"
"今年9月","5","0","1.1053","0","1.1053","3.06"
"今年10月","8","0","2.3241","0","2.3241","6.43"
"今年11月","14","2","4.5582","1.3549","5.9131","16.37"
"今年12月","23","0","8.1595","0","8.1595","22.59"
"明年1月","24","0","8.5179","0","8.5179","23.58"
"明年2月","12","0","4.5000","0","4.5000","12.46"
"明年3月","5","0","1.0585","0","1.0585","2.93"
"明年4月","1","0","0.2953","0","0.2953","0.82"
"明年5月","0","0","0","0","0","0"
"明年6月","0","0","0","0","0","0"
"明年7月","0","0","0","0","0","0"
"明年8月","0","0","0","0","0","0"
"明年9月","0","0","0","0","0","0"
"明年10月","1","0","0","0","0","0"
"明年11月","0","0","0","0","0","0"
"明年12月","3","0","0.6704","0","0.6704","1.86"
"後年","3","0","0.4668","0","0.4668","1.29"
