"調查年度",90,"放養面積","(公頃)"
"魚種名稱","淡水鯰","放養數量","(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"全國","0","0","0","0","0","0","0","0"
"屏東縣","22","0","5.6529","0","5.6529","17.40","762,400","300"
"臺南縣","32","1","16.3946","0.7887","17.1833","52.89","960,800","23,200"
"雲林縣","18","0","2.7745","0","2.7745","8.54","847,000","157,000"
"嘉義縣","9","0","2.1596","0","2.1596","6.65","108,000","126,000"
"高雄縣","6","0","1.5611","0","1.5611","4.80","54,000","722,300"
"彰化縣","12","5","1.6263","0.6897","2.3160","7.13","193,600","35,100"
"臺南市","0","0","0","0","0","0","0","0"
"宜蘭縣","0","0","0","0","0","0","0","0"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0"
"臺東縣","1","0","0.8422","0","0.8422","2.59","7,000","350"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"合　計","100","6","31.0112","1.4784","32.4896","100.00","2,932,800","1,064,250"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"室內","3","0","0.2428","0","0.2428","0.75"
"室外","97","6","30.7684","1.4784","32.2468","99.25"
"兼有","0","0","0","0","0","0"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","22","5","3.1288","0.6897","3.8185","11.75"
"中間養成","26","0","7.1477","0","7.1477","22.00"
"成魚養成","38","1","15.8647","0.7887","16.6534","51.26"
"蓄養可上市之成魚","14","0","4.8700","0","4.8700","14.99"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","99","6","30.8815","1.4784","32.3599","100.00"
"鹹水","0","0","0","0","0","0"
"半淡鹹水","0","0","0","0","0","0"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","0","0","0","0","0","0"
"今年6月","1","0","0.0233","0","0.0233","0.07"
"今年7月","12","0","3.1393","0","3.1393","9.66"
"今年8月","3","0","0.8304","0","0.8304","2.56"
"今年9月","11","0","2.4526","0","2.4526","7.55"
"今年10月","16","0","5.6409","0","5.6409","17.36"
"今年11月","15","1","4.7271","0.1262","4.8533","14.94"
"今年12月","21","0","9.7309","0","9.7309","29.95"
"明年1月","12","1","2.1446","0.7887","2.9333","9.03"
"明年2月","1","0","0.1818","0","0.1818","0.56"
"明年3月","2","0","0.4111","0","0.4111","1.27"
"明年4月","0","0","0","0","0","0"
"明年5月","2","0","0.6478","0","0.6478","1.99"
"明年6月","3","2","0.9565","0.1881","1.1446","3.52"
"明年7月","0","0","0","0","0","0"
"明年8月","0","1","0","0.0787","0.0787","0.24"
"明年9月","0","0","0","0","0","0"
"明年10月","0","0","0","0","0","0"
"明年11月","1","0","0.1249","0","0.1249","0.38"
"明年12月","0","1","0","0.2967","0.2967","0.91"
"後年","0","0","0","0","0","0"
