"調查年度",90,"放養面積","(公頃)"
"魚種名稱","甲魚(鱉)","放養數量","(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"全國","0","0","0","0","0","0","0","0"
"屏東縣","1,354","0","108.0202","0","108.0202","60.49","19,811,607","0"
"臺南縣","37","0","8.4475","0","8.4475","4.73","664,541","0"
"雲林縣","254","2","16.3403","0.6386","16.9789","9.51","1,358,170","16,000"
"嘉義縣","34","0","4.3299","0","4.3299","2.42","232,700","0"
"高雄縣","164","0","17.6927","0","17.6927","9.91","2,202,815","0"
"彰化縣","247","1","20.2754","0.0637","20.3391","11.39","835,310","6,800"
"臺南市","4","0","1.2282","0","1.2282","0.69","12,000","500"
"宜蘭縣","26","0","1.5251","0","1.5251","0.85","137,200","0"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","800"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"合　計","2,120","3","177.8593","0.7023","178.5616","100.00","25,254,343","24,100"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"室內","2","0","0.5403","0","0.5403","0.30"
"室外","2,108","3","176.9127","0.7023","177.6150","99.47"
"兼有","10","0","0.4063","0","0.4063","0.23"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","386","1","27.9826","0.0637","28.0463","15.71"
"中間養成","403","1","39.2425","0.0999","39.3424","22.03"
"成魚養成","605","1","63.2899","0.5387","63.8286","35.75"
"蓄養可上市之成魚","726","0","47.3443","0","47.3443","26.51"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","2,113","3","176.9632","0.7023","177.6655","99.50"
"鹹水","0","0","0","0","0","0"
"半淡鹹水","7","0","0.8961","0","0.8961","0.50"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","1","0","0.0619","0","0.0619","0.03"
"今年6月","72","0","4.6356","0","4.6356","2.60"
"今年7月","205","0","15.1606","0","15.1606","8.49"
"今年8月","254","0","19.0224","0","19.0224","10.65"
"今年9月","307","0","19.9274","0","19.9274","11.16"
"今年10月","207","0","16.5872","0","16.5872","9.29"
"今年11月","240","0","21.4932","0","21.4932","12.04"
"今年12月","250","0","24.1494","0","24.1494","13.52"
"明年1月","98","1","7.9785","0.0999","8.0784","4.52"
"明年2月","103","1","13.5593","0.5387","14.0980","7.90"
"明年3月","78","0","7.0959","0","7.0959","3.97"
"明年4月","34","1","5.8621","0.0637","5.9258","3.32"
"明年5月","29","0","3.3836","0","3.3836","1.89"
"明年6月","35","0","2.5627","0","2.5627","1.44"
"明年7月","31","0","2.1545","0","2.1545","1.21"
"明年8月","26","0","2.1923","0","2.1923","1.23"
"明年9月","30","0","2.1223","0","2.1223","1.19"
"明年10月","43","0","2.8818","0","2.8818","1.61"
"明年11月","9","0","0.7211","0","0.7211","0.40"
"明年12月","21","0","1.5604","0","1.5604","0.87"
"後年","47","0","4.7471","0","4.7471","2.66"
