"調查年度",96,"放養面積","5,737.1289(公頃)"
"魚種名稱","虱目魚","放養數量","150,582,106(尾、粒、隻)"
"所屬縣市","已完成調查魚塭口數",,,,,"魚塭面積(公頃)",,,,,"百分比(%)","放養量",,"養殖戶數"
,"第一類(有水權)","第一類(無水權)","第二類","第三類","小計","第一類(有水權)","第一類(無水權)","第二類","第三類","小計",,,"第一類(有水權)","第一類(無水權)","第二類","第三類","小計"
"總　計","1,450","1,507","210","316","3,483","2,625.3251","2,340.4034","281.5671","489.8334","5,737.1289","100.00","150,582,106","1,450","1,507","210","316","3,483"
"屏東縣","4","8","14","3","29","4.0881","4.5970","12.6294","0.2484","21.5629","0.38","5,683,301","4","8","14","3","29"
"臺南縣","848","584","79","43","1,554","1,558.4076","1,073.2659","147.1102","112.3953","2,891.1790","50.39","59,525,576","848","584","79","43","1,554"
"雲林縣","14","21","19","0","54","13.6661","21.5113","17.5701","0","52.7475","0.92","533,800","14","21","19","0","54"
"嘉義縣","174","580","36","111","901","194.6042","741.6929","37.6341","163.7914","1,137.7226","19.83","22,346,301","174","580","36","111","901"
"高雄縣","168","268","48","100","584","218.6921","440.3428","49.3468","116.8066","825.1883","14.38","27,091,514","168","268","48","100","584"
"彰化縣","0","0","4","33","37","0","0","4.2084","35.6000","39.8084","0.69","145,514","0","0","4","33","37"
"臺南市","223","38","2","24","287","617.8142","51.9627","5.5947","59.3677","734.7393","12.81","34,927,700","223","38","2","24","287"
"宜蘭縣","19","8","8","2","37","18.0528","7.0308","7.4734","1.6240","34.1810","0.60","328,400","19","8","8","2","37"
"桃園縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"預定收獲統計(經營型態=成魚養成)"
"預定收獲月份","魚塭口數","魚塭面積(公頃)","新放養量(尾、粒、隻)"
