"調查年度",93,"放養面積","(公頃)"
"魚種名稱","虱目魚","放養數量","(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"全國","0","0","0","0","0","0","0","0"
"屏東縣","205","5","38.9500","3.0100","41.9600","0.50","25,740,207","2,812,000"
"臺南縣","2,615","3,051","1,887.7900","1,929.1900","3,816.9800","45.12","40,982,300","43,821,928"
"雲林縣","287","26","66.8300","8.4900","75.3200","0.89","2,962,780","13,696,710"
"嘉義縣","370","1,692","152.6700","920.5200","1,073.1900","12.69","4,264,600","14,077,080"
"高雄縣","2,344","1,251","1,110.9300","558.5400","1,669.4700","19.74","27,970,220","14,788,900"
"彰化縣","42","2","20.3400","0.8500","21.1900","0.25","791,260","2,905,730"
"臺南市","1,395","947","1,237.5500","482.4500","1,720.0000","20.33","88,620,730","18,402,430"
"宜蘭縣","15","59","4.1700","36.1200","40.2900","0.48","171,500","412,150"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","1","0","0.4000","0","0.4000","0.00","3,333","9,000"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"合　計","7,274","7,033","4,519.6300","3,939.1700","8,458.8000","100.00","191,506,930","110,925,928"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"室內","3","0","1.4600","0","1.4600","0.02"
"室外","7,271","7,033","4,518.1700","3,939.1700","8,457.3400","99.98"
"兼有","0","0","0","0","0","0"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","216","17","36.1700","9.5100","45.6800","0.54"
"中間養成","2,679","836","2,294.5300","476.8700","2,771.4000","32.76"
"成魚養成","4,208","6,029","2,110.2300","3,378.1600","5,488.3900","64.88"
"蓄養可上市之成魚","171","151","78.7000","74.6300","153.3300","1.81"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","1,444","2,642","705.6600","1,356.5800","2,062.2400","45.03"
"鹹水","0","0","0","0","0","0"
"半淡鹹水","2,647","2,342","1,228.8200","1,288.7100","2,517.5300","54.97"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","195","18","91.7100","7.2900","99.0000","1.17"
"今年6月","398","50","260.9500","31.4700","292.4200","3.46"
"今年7月","476","170","497.7600","98.7200","596.4800","7.06"
"今年8月","545","539","409.0600","284.6800","693.7400","8.21"
"今年9月","820","1,689","460.9500","832.2700","1,293.2200","15.30"
"今年10月","1,310","1,689","848.9000","1,003.5900","1,852.4900","21.92"
"今年11月","1,474","1,355","954.2800","805.0800","1,759.3600","20.82"
"今年12月","1,075","767","558.2300","470.9500","1,029.1800","12.18"
"明年1月","170","108","80.6400","53.0000","133.6400","1.58"
"明年2月","199","301","90.0200","163.0300","253.0500","2.99"
"明年3月","130","140","50.2600","77.9400","128.2000","1.52"
"明年4月","121","123","59.2900","69.8200","129.1100","1.53"
"明年5月","102","26","44.1000","13.9400","58.0400","0.69"
"明年6月","61","11","27.2900","5.2100","32.5000","0.38"
"明年7月","43","5","17.5200","2.2800","19.8000","0.23"
"明年8月","40","15","19.7200","7.0700","26.7900","0.32"
"明年9月","27","8","13.5000","3.3800","16.8800","0.20"
"明年10月","13","8","7.8900","4.5400","12.4300","0.15"
"明年11月","16","10","7.5400","4.6500","12.1900","0.14"
"明年12月","8","1","3.5700","0.2600","3.8300","0.05"
"後年","28","0","8.7500","0","8.7500","0.10"
