"調查年度",89,"放養面積","(公頃)"
"魚種名稱","虱目魚","放養數量","(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"全國","0","0","0","0","0","0","0","0"
"屏東縣","294","182","107.7918","123.8579","231.6497","3.06","4,677,015","4,277,166"
"臺南縣","2,275","2,825","2,018.7532","2,016.1787","4,034.9319","53.30","51,104,649","25,293,519"
"雲林縣","9","3","3.9013","0.3787","4.2800","0.06","439,755","3,621,888"
"嘉義縣","383","953","152.5049","543.4600","695.9649","9.19","4,357,390","11,364,843"
"高雄縣","2,080","491","978.6846","239.2498","1,217.9344","16.09","26,229,900","8,033,503"
"彰化縣","37","1","22.8901","0.3422","23.2323","0.31","516,520","508,970"
"臺南市","1,201","184","1,249.6093","107.8258","1,357.4351","17.93","55,072,072","5,401,583"
"宜蘭縣","6","0","1.0368","0","1.0368","0.01","143,225","262,328"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0"
"臺東縣","10","0","3.9208","0","3.9208","0.05","174,675","0"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"合　計","6,295","4,639","4,539.0928","3,031.2931","7,570.3859","100.00","142,715,201","58,763,800"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"室內","5","3","2.3847","1.3438","3.7285","0.05"
"室外","6,250","4,636","4,506.8754","3,029.9493","7,536.8247","99.56"
"兼有","40","0","29.8327","0","29.8327","0.39"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","439","269","206.2899","185.2261","391.5160","5.17"
"中間養成","2,875","391","2,487.8569","196.0023","2,683.8592","35.45"
"成魚養成","2,275","3,809","1,499.9311","2,566.2857","4,066.2168","53.71"
"蓄養可上市之成魚","706","170","345.0149","83.7790","428.7939","5.66"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","2,000","1,527","1,025.8812","922.0490","1,947.9302","52.61"
"鹹水","0","0","0","0","0","0"
"半淡鹹水","1,865","1,461","918.0542","836.8437","1,754.8979","47.39"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","5","1","1.7076","0.3241","2.0317","0.03"
"今年6月","165","19","86.2254","9.2879","95.5133","1.26"
"今年7月","364","98","255.4190","61.2727","316.6917","4.18"
"今年8月","577","247","625.8149","171.6652","797.4801","10.53"
"今年9月","598","503","609.6522","327.9667","937.6189","12.39"
"今年10月","1,189","1,118","851.8192","687.3695","1,539.1887","20.33"
"今年11月","1,293","1,793","997.5618","1,254.8640","2,252.4258","29.75"
"今年12月","854","519","464.2080","302.6865","766.8945","10.13"
"明年1月","522","163","265.0476","93.3935","358.4411","4.73"
"明年2月","268","77","109.1608","48.2928","157.4536","2.08"
"明年3月","250","38","162.2036","27.6642","189.8678","2.51"
"明年4月","109","11","54.5619","9.1919","63.7538","0.84"
"明年5月","31","25","19.3599","19.5259","38.8858","0.51"
"明年6月","9","4","3.9931","2.6555","6.6486","0.09"
"明年7月","26","2","13.9890","2.6003","16.5893","0.22"
"明年8月","8","2","2.0614","1.3917","3.4531","0.05"
"明年9月","9","3","9.5866","1.8272","11.4138","0.15"
"明年10月","10","5","3.1675","1.9826","5.1501","0.07"
"明年11月","5","8","2.3433","6.0938","8.4371","0.11"
"明年12月","3","1","1.2100","0.9808","2.1908","0.03"
"後年","0","2","0","0.2563","0.2563","0.00"
