"調查年度",91,"放養面積","(公頃)"
"魚種名稱","九孔","放養數量","(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"全國","0","0","0","0","0","0","0","0"
"屏東縣","13","0","2.6700","0","2.6700","10.13","613,900","0"
"臺南縣","0","0","0","0","0","0","0","0"
"雲林縣","0","0","0","0","0","0","0","0"
"嘉義縣","0","0","0","0","0","0","0","0"
"高雄縣","29","0","2.6800","0","2.6800","10.17","20,401,000","0"
"彰化縣","1","0","0.1500","0","0.1500","0.57","9,300","0"
"臺南市","6","0","2.6700","0","2.6700","10.13","31,218,000","0"
"宜蘭縣","165","0","17.2500","0","17.2500","65.44","55,745,000","0"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0"
"臺東縣","36","2","0.9400","0","0.9400","3.57","116,950,000","13,000,000"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"合　計","250","2","26.3600","0","26.3600","100.00","224,937,200","13,000,000"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"室內","45","0","5.5700","0","5.5700","21.13"
"室外","101","2","12.2200","0","12.2200","46.36"
"兼有","104","0","8.5700","0","8.5700","32.51"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","56","2","2.6600","0","2.6600","10.09"
"中間養成","109","0","9.7300","0","9.7300","36.91"
"成魚養成","79","0","13.2500","0","13.2500","50.27"
"蓄養可上市之成魚","6","0","0.7200","0","0.7200","2.73"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","1","0","0.1500","0","0.1500","6.00"
"鹹水","0","0","0","0","0","0"
"半淡鹹水","10","0","2.3500","0","2.3500","94.00"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","0","0","0","0","0","0"
"今年6月","10","0","0.7500","0","0.7500","2.85"
"今年7月","18","0","2.7300","0","2.7300","10.36"
"今年8月","17","0","3.2900","0","3.2900","12.48"
"今年9月","22","0","4.6600","0","4.6600","17.68"
"今年10月","24","0","2.0900","0","2.0900","7.93"
"今年11月","29","0","3.6100","0","3.6100","13.69"
"今年12月","32","0","2.5300","0","2.5300","9.60"
"明年1月","12","0","1.6300","0","1.6300","6.18"
"明年2月","16","0","1.5700","0","1.5700","5.96"
"明年3月","15","0","0.8900","0","0.8900","3.38"
"明年4月","14","1","1.0800","0","1.0800","4.10"
"明年5月","18","0","0.2800","0","0.2800","1.06"
"明年6月","16","1","0.4800","0","0.4800","1.82"
"明年7月","0","0","0","0","0","0"
"明年8月","0","0","0","0","0","0"
"明年9月","0","0","0","0","0","0"
"明年10月","1","0","0.2000","0","0.2000","0.76"
"明年11月","3","0","0.3500","0","0.3500","1.33"
"明年12月","3","0","0.2200","0","0.2200","0.83"
"後年","0","0","0","0","0","0"
