"調查年度",95,"放養面積","49.2077(公頃)"
"魚種名稱","其他鯛魚類","放養數量","25,700,030(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"合　計","213","18","49.2077","5.5354","54.7431","100.00","25,700,030","1,541,000"
"屏東縣","187","12","41.0743","3.4416","44.5159","81.32","25,018,030","390,000"
"臺南縣","0","0","0","0","0","0","0","0"
"雲林縣","0","0","0","0","0","0","0","0"
"嘉義縣","10","5","4.6792","1.9985","6.6777","12.20","342,000","1,126,000"
"高雄縣","16","1","3.4542","0.0953","3.5495","6.48","340,000","25,000"
"彰化縣","0","0","0","0","0","0","0","0"
"臺南市","0","0","0","0","0","0","0","0"
"宜蘭縣","0","0","0","0","0","0","0","0"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"公有","0","0","0","0","0","0"
"自有","187","12","42.6665","3.7852","46.4517","84.85"
"公有租用","1","0","0.2725","0","0.2725","0.50"
"私有租用","25","6","6.2687","1.7502","8.0189","14.65"
"私有","0","0","0","0","0","0"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","10","0","1.4099","0","1.4099","2.58"
"中間養成","1","1","0.2666","0.0953","0.3619","0.66"
"成魚養成","202","17","47.5312","5.4401","52.9713","96.76"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","5","0","1.8849","0","1.8849","3.44"
"純海水","119","1","25.3673","0.0953","25.4626","46.51"
"半淡鹹水","89","17","21.9555","5.4401","27.3956","50.04"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","13","0","2.3936","0","2.3936","4.37"
"今年6月","18","2","3.6230","0.6161","4.2391","7.74"
"今年7月","16","2","4.0559","0.8606","4.9165","8.98"
"今年8月","20","0","5.2740","0","5.2740","9.63"
"今年9月","20","0","4.7961","0","4.7961","8.76"
"今年10月","11","0","2.0120","0","2.0120","3.68"
"今年11月","7","0","1.7760","0","1.7760","3.24"
"今年12月","31","1","7.8018","0.3138","8.1156","14.82"
"明年1月","7","1","1.3935","0.3485","1.7420","3.18"
"明年2月","7","0","1.6197","0","1.6197","2.96"
"明年3月","12","5","2.3446","1.0435","3.3881","6.19"
"明年4月","7","1","1.3732","0.1947","1.5679","2.86"
"明年5月","17","1","4.8186","0.0953","4.9139","8.98"
"明年6月","6","0","1.1044","0","1.1044","2.02"
"明年7月","3","1","0.5678","0.3782","0.9460","1.73"
"明年8月","11","0","2.7107","0","2.7107","4.95"
"明年9月","0","0","0","0","0","0"
"明年10月","2","0","0.3825","0","0.3825","0.70"
"明年11月","0","0","0","0","0","0"
"明年12月","1","1","0.2725","0.4305","0.7030","1.28"
"後年","2","3","0.3532","1.2542","1.6074","2.94"
"今年4月","1","0","0.1333","0","0.1333","0.24"
"今年1月","0","0","0","0","0","0"
"今年3月","1","0","0.4013","0","0.4013","0.73"
"今年2月","0","0","0","0","0","0"
