"調查年度",89,"放養面積","(公頃)"
"魚種名稱","其他鯛魚類","放養數量","(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"全國","0","0","0","0","0","0","0","0"
"屏東縣","1,559","40","306.5339","16.1581","322.6920","48.81","80,050,962","812,760"
"臺南縣","85","21","39.1777","11.1604","50.3381","7.61","3,683,400","297,000"
"雲林縣","17","2","5.2518","0.3805","5.6323","0.85","654,000","32,000"
"嘉義縣","733","24","227.8134","6.7989","234.6123","35.49","16,062,650","843,700"
"高雄縣","152","0","40.0917","0","40.0917","6.06","2,442,500","7,300"
"彰化縣","29","0","7.3274","0","7.3274","1.11","960,330","1,100"
"臺南市","0","0","0","0","0","0","0","0"
"宜蘭縣","5","1","0.1451","0.3050","0.4501","0.07","118,000","34,000"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","3,000"
"臺東縣","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"合　計","2,580","88","626.3410","34.8029","661.1439","100.00","103,971,842","2,030,860"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"室內","1","0","0.0226","0","0.0226","0.00"
"室外","2,579","88","626.3184","34.8029","661.1213","100.00"
"兼有","0","0","0","0","0","0"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","756","3","110.4136","0.4749","110.8885","16.77"
"中間養成","202","5","49.1743","1.0831","50.2574","7.60"
"成魚養成","1,375","76","403.7847","31.9203","435.7050","65.90"
"蓄養可上市之成魚","247","4","62.9684","1.3246","64.2930","9.72"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","80","8","28.2151","1.8421","30.0572","5.23"
"鹹水","0","0","0","0","0","0"
"半淡鹹水","2,328","21","537.7775","6.5901","544.3676","94.77"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","2","1","0.6651","0.3050","0.9701","0.15"
"今年6月","125","0","33.5411","0","33.5411","5.07"
"今年7月","386","1","67.1672","0.3856","67.5528","10.22"
"今年8月","467","2","79.7767","0.6317","80.4084","12.16"
"今年9月","222","5","53.5844","2.4684","56.0528","8.48"
"今年10月","373","12","100.3815","3.6013","103.9828","15.73"
"今年11月","107","18","31.2055","8.5679","39.7734","6.02"
"今年12月","294","22","92.2061","6.7702","98.9763","14.97"
"明年1月","58","10","16.3569","4.3707","20.7276","3.14"
"明年2月","146","8","42.0071","4.8456","46.8527","7.09"
"明年3月","80","1","22.9380","0.2814","23.2194","3.51"
"明年4月","94","1","25.6908","0.6393","26.3301","3.98"
"明年5月","80","1","23.9830","0.4805","24.4635","3.70"
"明年6月","48","1","14.5945","0.3141","14.9086","2.25"
"明年7月","23","0","5.3193","0","5.3193","0.80"
"明年8月","15","0","4.1200","0","4.1200","0.62"
"明年9月","6","2","0.7832","0.6080","1.3912","0.21"
"明年10月","14","2","3.3870","0.3786","3.7656","0.57"
"明年11月","7","0","0.8619","0","0.8619","0.13"
"明年12月","16","0","4.4061","0","4.4061","0.67"
"後年","17","1","3.3656","0.1546","3.5202","0.53"
