"調查年度",93,"放養面積","(公頃)"
"魚種名稱","其他鯛魚類","放養數量","(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"全國","0","0","0","0","0","0","0","0"
"屏東縣","842","23","168.2900","3.8000","172.0900","44.80","52,206,600","320,200"
"臺南縣","1","0","0.2900","0","0.2900","0.08","5,000","45,600"
"雲林縣","1","0","0.4100","0","0.4100","0.11","40,000","0"
"嘉義縣","572","5","142.8200","1.7900","144.6100","37.65","12,531,500","1,264,000"
"高雄縣","227","4","57.5400","0.5900","58.1300","15.13","2,247,000","53,000"
"彰化縣","18","1","7.0100","0.4000","7.4100","1.93","458,400","11,800"
"臺南市","3","0","1.0700","0","1.0700","0.28","161,000","69,000"
"宜蘭縣","1","0","0","0","0","0","1,000","2,000"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","3","0","0.0800","0","0.0800","0.02","26,000","0"
"臺東縣","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"合　計","1,668","33","377.5100","6.5800","384.0900","100.00","67,676,500","1,765,600"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"室內","0","0","0","0","0","0"
"室外","1,666","33","377.4000","6.5800","383.9800","99.97"
"兼有","2","0","0.1100","0","0.1100","0.03"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","245","0","19.0500","0","19.0500","4.96"
"中間養成","82","2","14.3600","0.2400","14.6000","3.80"
"成魚養成","1,005","17","258.8300","4.1000","262.9300","68.46"
"蓄養可上市之成魚","336","14","85.2700","2.2400","87.5100","22.78"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","60","0","11.1200","0","11.1200","3.12"
"鹹水","0","0","0","0","0","0"
"半淡鹹水","1,499","29","340.2600","5.6000","345.8600","96.88"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","25","1","2.7300","0.4000","3.1300","0.82"
"今年6月","424","0","85.3500","0","85.3500","22.27"
"今年7月","87","0","10.3500","0","10.3500","2.70"
"今年8月","198","0","53.4900","0","53.4900","13.96"
"今年9月","31","2","9.8900","0.3300","10.2200","2.67"
"今年10月","73","0","17.7500","0","17.7500","4.63"
"今年11月","115","5","25.6500","0.9700","26.6200","6.95"
"今年12月","154","2","34.2300","0.3400","34.5700","9.02"
"明年1月","141","14","36.5300","1.7500","38.2800","9.99"
"明年2月","104","4","26.1300","1.0100","27.1400","7.08"
"明年3月","95","3","25.4300","1.3300","26.7600","6.98"
"明年4月","73","1","19.3500","0.3800","19.7300","5.15"
"明年5月","42","0","10.7200","0","10.7200","2.80"
"明年6月","22","0","4.8300","0","4.8300","1.26"
"明年7月","17","0","3.8200","0","3.8200","1.00"
"明年8月","11","0","2.1200","0","2.1200","0.55"
"明年9月","8","1","1.6700","0.0700","1.7400","0.45"
"明年10月","4","0","1.2300","0","1.2300","0.32"
"明年11月","5","0","1.5500","0","1.5500","0.40"
"明年12月","3","0","0.5300","0","0.5300","0.14"
"後年","32","0","3.3500","0","3.3500","0.87"
