"調查年度",98,"放養面積","187.4439(公頃)"
"魚種名稱","鯉科魚(含草鰱魚)","放養數量","91,484,753(尾、粒、隻)"
"所屬縣市","已完成調查魚塭口數",,,,,"魚塭面積(公頃)",,,,,"百分比(%)","放養量",,"養殖戶數",,,,,"養殖戶類別統計"
,"第一類(有水權)","第一類(無水權)","第二類","第三類","小計","第一類(有水權)","第一類(無水權)","第二類","第三類","小計",,"在池（尾、粒、隻）","新放養（尾、粒、隻）","第一類(有水權)","第一類(無水權)","第二類","第三類","小計","魚苗戶","養成戶"
"總　計","13","133","20","356","522","3.6019","56.6448","8.5641","118.6331","187.4439","100.00","2,222,100","91,484,753","8","62","9","207","284","18","254"
"屏東縣","0","0","0","24","24","0","0","0","6.9450","6.9450","3.71","908,600","1,620,000","0","0","0","12","12","1","10"
"臺南縣","4","21","8","54","87","2.6129","9.7074","2.6172","23.9529","38.8904","20.75","296,060","45,626,250","3","9","5","26","42","2","39"
"雲林縣","0","1","0","13","14","0","0.3006","0","4.3838","4.6844","2.50","80,000","6,200","0","1","0","10","11","4","6"
"嘉義縣","0","93","10","81","184","0","36.9597","5.5879","34.2397","76.7873","40.97","65,340","40,827,550","0","41","3","46","89","0","88"
"高雄縣","0","0","0","3","3","0","0","0","1.0627","1.0627","0.57","10,000","6,250","0","0","0","3","3","0","3"
"彰化縣","1","0","0","102","103","0.0873","0","0","8.4565","8.5438","4.56","532,465","78,450","1","0","0","51","52","8","42"
"臺南市","2","15","2","33","52","0.6637","9.4924","0.3590","16.6163","27.1314","14.47","14,695","3,253,103","2","9","1","22","34","1","33"
"宜蘭縣","0","1","0","0","1","0","0","0","0","0","0","1,500","0","0","1","0","0","1","0","1"
"桃園縣","0","2","0","27","29","0","0.1847","0","19.9501","20.1348","10.74","33,350","66,950","0","1","0","25","26","2","20"
"花蓮縣","0","0","0","15","15","0","0","0","2.8270","2.8270","1.51","29,990","0","0","0","0","11","11","0","11"
"臺東縣","0","0","0","4","4","0","0","0","0.1991","0.1991","0.11","0","0","0","0","0","1","1","0","0"
"澎湖縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"南投縣","5","0","0","0","5","0.2360","0","0","0","0.2360","0.13","250,000","0","1","0","0","0","1","0","0"
"臺北縣","1","0","0","0","1","0.0020","0","0","0","0.0020","0.00","100","0","1","0","0","0","1","0","1"
"新竹市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"預定收獲統計(經營型態=成魚養成)"
"預定收獲月份","魚塭口數","魚塭面積(公頃)","在池放養量(尾、粒、隻)","新放養量(尾、粒、隻)","預定收獲重量(公噸)"
"今年3月","0","0","0","0","0"
"今年4月","0","0","0","0","0"
"今年5月","0","0","0","0","0"
"今年6月","0","0","0","0","0"
"今年7月","0","0","0","0","0"
"今年8月","0","0","0","0","0"
"今年9月","0","0","0","0","0"
"今年10月","0","0","0","0","0"
"今年11月","0","0","0","0","0"
"今年12月","0","0","0","0","0"
"明年1月","0","0","0","0","0"
"明年2月","0","0","0","0","0"
"明年3月","0","0","0","0","0"
"經營型態統計─口數、面積(公頃)"
"所屬縣市","無填寫",,"魚苗繁殖",,"中間養殖",,"成魚養成"
,"魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)"
"總　計","23","10.8940","43","12.0660","55","19.8949","403","144.5890"
"屏東縣","1","0.7000","1","0.1500","5","1.8800","17","4.2150"
"臺南縣","2","0.6790","8","3.6598","10","4.5937","67","29.9579"
"雲林縣","1","0.2074","7","1.8072","2","1.7103","4","0.9595"
"嘉義縣","2","1.1256","0","0","11","2.5252","173","73.1365"
"高雄縣","0","0","0","0","0","0","3","1.0627"
"彰化縣","4","0.4020","24","1.3856","0","0","75","6.7562"
"臺南市","0","0","1","0.6412","4","1.2766","47","25.2136"
"宜蘭縣","0","0","0","0","0","0","1","0"
"桃園縣","4","7.3449","2","4.4222","16","6.9617","7","1.4060"
"花蓮縣","0","0","0","0","6","0.9454","9","1.8816"
"臺東縣","4","0.1991","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0"
"南投縣","5","0.2360","0","0","0","0","0","0"
"臺北縣","0","0","0","0","1","0.0020","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"經營型態統計─放養量(尾、粒、隻)"
"所屬縣市","無填寫",,"魚苗繁殖",,"中間養殖",,"成魚養成"
,"在池","新放養","在池","新放養","在池","新放養","在池","新放養"
"總　計","271,250","1,050,500","823,000","4,903","465,540","4,039,550","662,310","86,389,800"
"屏東縣","15,000","0","1,000","0","400,000","100,000","492,600","1,520,000"
"臺南縣","1,200","1,000,000","265,000","0","5,500","2,203,000","24,360","42,423,250"
"雲林縣","0","500","26,500","3,500","52,000","0","1,500","2,200"
"嘉義縣","900","0","0","0","0","1,600,000","64,440","39,227,550"
"高雄縣","0","0","0","0","0","0","10,000","6,250"
"彰化縣","1,000","0","507,500","1,400","0","0","23,965","77,050"
"臺南市","0","0","0","3","0","120,000","14,695","3,133,100"
"宜蘭縣","0","0","0","0","0","0","1,500","0"
"桃園縣","3,150","50,000","23,000","0","5,150","16,550","2,050","400"
"花蓮縣","0","0","0","0","2,790","0","27,200","0"
"臺東縣","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0"
"南投縣","250,000","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","100","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
