"調查年度",89,"放養面積","(公頃)"
"魚種名稱","淡水長腳蝦","放養數量","(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"全國","0","0","0","0","0","0","0","0"
"屏東縣","10,138","0","2,288.6401","0","2,288.6401","88.96","1,343,835,429","0"
"臺南縣","23","0","18.1225","0","18.1225","0.70","1,954,500","0"
"雲林縣","45","0","10.0088","0","10.0088","0.39","1,260,700","0"
"嘉義縣","76","0","11.6332","0","11.6332","0.45","4,412,000","0"
"高雄縣","1,156","11","231.9022","4.9003","236.8025","9.20","48,610,602","17,840,000"
"彰化縣","0","1","0","0.2874","0.2874","0.01","0","560,000"
"臺南市","0","0","0","0","0","0","0","1,090,000"
"宜蘭縣","11","0","5.2335","0","5.2335","0.20","1,709,000","0"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","2","0","0.7104","0","0.7104","0.03","12,000","0"
"臺東縣","5","0","1.3265","0","1.3265","0.05","706,000","0"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"合　計","11,456","12","2,567.5772","5.1877","2,572.7649","100.00","1,402,500,231","19,490,000"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"室內","1","0","0.0400","0","0.0400","0.00"
"室外","11,452","12","2,566.8207","5.1877","2,572.0084","99.97"
"兼有","3","0","0.7165","0","0.7165","0.03"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","565","1","121.4284","0.2874","121.7158","4.73"
"中間養成","3,448","7","768.2561","3.2380","771.4941","29.99"
"成魚養成","2,448","1","543.8225","0.4140","544.2365","21.15"
"蓄養可上市之成魚","4,995","3","1,134.0702","1.2483","1,135.3185","44.13"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","11,442","4","2,563.7998","1.5357","2,565.3355","99.71"
"鹹水","0","0","0","0","0","0"
"半淡鹹水","14","8","3.7774","3.6520","7.4294","0.29"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","63","0","17.3803","0","17.3803","0.68"
"今年6月","661","0","158.9322","0","158.9322","6.18"
"今年7月","1,551","0","344.3251","0","344.3251","13.38"
"今年8月","1,397","0","305.8919","0","305.8919","11.89"
"今年9月","1,697","3","395.1049","1.2483","396.3532","15.41"
"今年10月","2,001","1","442.3794","0.4140","442.7934","17.21"
"今年11月","1,392","3","313.6920","1.2371","314.9291","12.24"
"今年12月","889","4","201.0599","2.0009","203.0608","7.89"
"明年1月","350","0","81.6705","0","81.6705","3.17"
"明年2月","398","0","77.9969","0","77.9969","3.03"
"明年3月","339","1","69.0882","0.2874","69.3756","2.70"
"明年4月","223","0","51.0538","0","51.0538","1.98"
"明年5月","136","0","30.8894","0","30.8894","1.20"
"明年6月","203","0","44.0813","0","44.0813","1.71"
"明年7月","64","0","15.7589","0","15.7589","0.61"
"明年8月","42","0","8.7038","0","8.7038","0.34"
"明年9月","14","0","2.2365","0","2.2365","0.09"
"明年10月","14","0","3.2558","0","3.2558","0.13"
"明年11月","11","0","1.5544","0","1.5544","0.06"
"明年12月","10","0","2.3961","0","2.3961","0.09"
"後年","1","0","0.1259","0","0.1259","0.00"
