"調查年度",90,"放養面積","(公頃)"
"魚種名稱","淡水長腳蝦","放養數量","(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"全國","0","0","0","0","0","0","0","0"
"屏東縣","9,213","1","2,057.2662","0.4222","2,057.6884","90.01","1,214,042,980","230,000"
"臺南縣","1","3","0.2325","1.1842","1.4167","0.06","40,000","510,000"
"雲林縣","56","0","16.8979","0","16.8979","0.74","2,361,100","0"
"嘉義縣","48","0","10.5358","0","10.5358","0.46","12,115,000","0"
"高雄縣","844","7","184.2604","2.5897","186.8501","8.17","46,932,000","27,282,500"
"彰化縣","2","0","0.5697","0","0.5697","0.02","405,000","0"
"臺南市","0","0","0","0","0","0","0","540,000"
"宜蘭縣","33","0","10.4021","0","10.4021","0.46","4,334,000","0"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","2","0","0.6559","0","0.6559","0.03","13,000","0"
"臺東縣","4","0","1.0740","0","1.0740","0.05","821,000","0"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"合　計","10,203","11","2,281.8945","4.1961","2,286.0906","100.00","1,281,064,080","28,562,500"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"室內","10","0","1.0598","0","1.0598","0.05"
"室外","10,133","11","2,271.4617","4.1961","2,275.6578","99.54"
"兼有","60","0","9.3730","0","9.3730","0.41"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","357","0","80.2652","0","80.2652","3.51"
"中間養成","3,453","2","765.2442","0.7523","765.9965","33.51"
"成魚養成","2,465","8","553.1620","3.1900","556.3520","24.34"
"蓄養可上市之成魚","3,928","1","883.2231","0.2538","883.4769","38.65"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","10,178","10","2,277.0970","3.7257","2,280.8227","99.80"
"鹹水","0","0","0","0","0","0"
"半淡鹹水","19","1","4.0183","0.4704","4.4887","0.20"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","2","0","0.4141","0","0.4141","0.02"
"今年6月","403","0","92.0648","0","92.0648","4.03"
"今年7月","1,345","1","309.3570","0.2538","309.6108","13.54"
"今年8月","1,439","0","315.7181","0","315.7181","13.81"
"今年9月","1,738","0","378.9206","0","378.9206","16.58"
"今年10月","1,779","0","394.3893","0","394.3893","17.25"
"今年11月","1,425","0","318.0489","0","318.0489","13.91"
"今年12月","931","2","216.7798","0.8187","217.5985","9.52"
"明年1月","435","3","101.7088","1.1842","102.8930","4.50"
"明年2月","238","4","61.0027","1.4690","62.4717","2.73"
"明年3月","125","1","26.2214","0.4704","26.6918","1.17"
"明年4月","80","0","16.4079","0","16.4079","0.72"
"明年5月","48","0","9.2539","0","9.2539","0.40"
"明年6月","59","0","10.8457","0","10.8457","0.47"
"明年7月","44","0","7.4207","0","7.4207","0.32"
"明年8月","45","0","8.0690","0","8.0690","0.35"
"明年9月","13","0","2.3704","0","2.3704","0.10"
"明年10月","5","0","1.1947","0","1.1947","0.05"
"明年11月","10","0","1.8386","0","1.8386","0.08"
"明年12月","39","0","9.8681","0","9.8681","0.43"
"後年","0","0","0","0","0","0"
