"調查年度",105,"放養面積","878.85(公頃)"
"魚種名稱","龍膽石斑","放養數量","103,435,730(尾、粒、隻)"
"所屬縣市","已完成調查魚塭口數",,,,,"魚塭面積(公頃)",,,,,"百分比(%)","放養量",,"養殖戶數",,,,,"養殖戶類別統計"
,"第一類(有水權)","第一類(無水權)","第二類","第三類","小計","第一類(有水權)","第一類(無水權)","第二類","第三類","小計",,"在池（尾、粒、隻）","新放養（尾、粒、隻）","第一類(有水權)","第一類(無水權)","第二類","第三類","小計","魚苗戶","養成戶"
"總　計","2,209","218","0","1,167","3,594","555.6260","59.1400","0","264.0806","878.8466","100.00","82,805,356","103,435,730","694","65","0","445","1,152","162","990"
"臺南市","739","28","0","150","917","224.2080","6.8929","0","45.0447","276.1456","31.42","1,342,721","3,353,307","202","7","0","51","255","56","199"
"屏東縣","590","17","0","574","1,181","110.7705","2.5667","0","131.9232","245.2604","27.91","1,836,044","1,173,642","222","5","0","229","426","20","406"
"雲林縣","0","36","0","140","176","0","11.2254","0","38.0184","49.2438","5.60","3,704,490","4,439,565","0","20","0","61","78","11","67"
"嘉義縣","298","123","0","126","547","68.2357","31.7271","0","25.0573","125.0201","14.23","67,080","90,427,645","57","27","0","30","108","38","70"
"彰化縣","0","0","0","5","5","0","0","0","0.8103","0.8103","0.09","200","5,000","0","0","0","2","2","0","2"
"高雄市","560","12","0","157","729","148.7468","3.2807","0","19.3317","171.3592","19.50","75,786,021","4,001,571","201","4","0","66","264","37","227"
"宜蘭縣","15","0","0","12","27","2.5650","0","0","3.0955","5.6605","0.64","32,170","0","6","0","0","5","10","0","10"
"桃園市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","1","0","3","4","0","0.3892","0","0.7995","1.1887","0.14","1,300","0","0","1","0","1","2","0","2"
"新竹縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"澎湖縣","7","0","0","0","7","1.1000","0","0","0","1.1000","0.13","5,330","5,000","6","0","0","0","6","0","6"
"南投縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","1","0","0","1","0","3.0580","0","0","3.0580","0.35","30,000","30,000","0","1","0","0","1","0","1"
"連江縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"預定收獲統計(經營型態=成魚養成)"
"預定收獲月份","魚塭口數","魚塭面積(公頃)","在池放養量(尾、粒、隻)","新放養量(尾、粒、隻)","預定收獲重量(公噸)"
"今年3月","0","0","0","0","0"
"今年4月","0","0","0","0","0"
"今年5月","3","0.5550","7,500","0","13"
"今年6月","4","0.9163","3,250","0","7"
"今年7月","1","0.0210","100","0","1"
"今年8月","2","0.3303","2,600","0","14,019"
"今年9月","7","1.1138","6,850","2,100","20,034"
"今年10月","11","3.3023","1,200","12,002","21"
"今年11月","58","25.6316","23,765","64,982","18,018"
"今年12月","52","14.0808","38,100","24,390","171"
"明年1月","3","0.7749","3,750","0","70"
"明年2月","30","7.7080","2,270","42,000","97"
"明年3月","23","6.3422","9,950","38,400","127"
"水源別統計"
"所屬縣市","魚塭口數",,,"魚塭面積(公頃)",,,"在池放養量(尾、粒、隻)",,,"新放養量(尾、粒、隻)",,,"預定收獲重量(公噸)"
,"無填寫","淡水","鹹水","無填寫","淡水","鹹水","無填寫","淡水","鹹水","無填寫","淡水","鹹水","無填寫","淡水","鹹水"
"總　計","895","17","2,682","197.9264","3.8604","677.0598","1,247,628","8,120","81,549,608","3,631,901","77,700","99,726,129","332","0","57,052"
"臺南市","197","9","711","58.2572","2.1434","215.7450","138,801","120","1,203,800","507,497","46,700","2,799,110","272","0","10"
"屏東縣","568","0","613","116.0839","0","129.1765","883,557","0","952,487","378,525","0","795,117","9","0","52,593"
"雲林縣","7","4","165","1.9003","1.0482","46.2953","60,800","8,000","3,635,690","32,000","0","4,407,565","0","0","0"
"嘉義縣","12","4","531","2.9512","0.6688","121.4001","0","0","67,080","1,107,500","31,000","89,289,145","0","0","324"
"彰化縣","0","0","5","0","0","0.8103","0","0","200","0","0","5,000","0","0","0"
"高雄市","107","0","622","17.7185","0","153.6407","160,390","0","75,625,631","1,606,379","0","2,395,192","50","0","3,818"
"宜蘭縣","3","0","24","0.9895","0","4.6710","4,000","0","28,170","0","0","0","0","0","220"
"桃園市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","4","0","0","1.1887","0","0","1,300","0","0","0","0","0","23"
"新竹縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"澎湖縣","1","0","6","0.0258","0","1.0742","80","0","5,250","0","0","5,000","1","0","64"
"南投縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","1","0","0","3.0580","0","0","30,000","0","0","30,000","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"經營型態統計─口數、面積(公頃)"
"所屬縣市","無填寫",,"魚苗繁殖",,"種魚繁殖",,"中間養殖",,"成魚養成"
,"魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)"
"總　計","0","0","488","91.8789","93","13.7989","624","155.0715","2,389","618.0973"
"臺南市","0","0","243","55.8127","25","7.2328","130","32.9057","519","180.1944"
"屏東縣","0","0","14","2.2554","42","3.5300","26","5.2346","1,099","234.2404"
"雲林縣","0","0","23","2.8069","0","0","95","30.5635","58","15.8734"
"嘉義縣","0","0","148","26.9149","7","0.1158","331","83.1069","61","14.8825"
"彰化縣","0","0","0","0","0","0","0","0","5","0.8103"
"高雄市","0","0","60","4.0890","19","2.9203","37","2.7801","613","161.5698"
"宜蘭縣","0","0","0","0","0","0","4","0.3935","23","5.2670"
"桃園市","0","0","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","4","1.1887"
"新竹縣","0","0","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","1","0.0872","6","1.0128"
"南投縣","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","1","3.0580"
"連江縣","0","0","0","0","0","0","0","0","0","0"
"經營型態統計─放養量(尾、粒、隻)"
"所屬縣市","無填寫",,"魚苗繁殖",,"種魚繁殖",,"中間養殖",,"成魚養成"
,"在池","新放養","在池","新放養","在池","新放養","在池","新放養","在池","新放養"
"總　計","0","0","78,634,000","93,265,035","67,545","4,076","1,433,402","7,593,087","2,670,409","2,573,532"
"臺南市","0","0","0","2,004,399","0","352","976,800","593,332","365,921","755,224"
"屏東縣","0","0","110,000","600,007","37,043","0","69,377","150,200","1,619,624","423,435"
"雲林縣","0","0","3,305,000","3,302,004","0","0","140,195","877,111","259,295","260,450"
"嘉義縣","0","0","0","86,578,000","3,500","0","59,610","3,787,444","3,970","62,201"
"彰化縣","0","0","0","0","0","0","0","0","200","5,000"
"高雄市","0","0","75,219,000","780,625","27,002","3,724","184,820","2,180,000","355,199","1,037,222"
"宜蘭縣","0","0","0","0","0","0","2,600","0","29,570","0"
"桃園市","0","0","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","1,300","0"
"新竹縣","0","0","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","5,000","5,330","0"
"南投縣","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","30,000","30,000"
"連江縣","0","0","0","0","0","0","0","0","0","0"
