"調查年度",95,"放養面積","956.0900(公頃)"
"魚種名稱","虱目魚苗越冬養殖","放養數量","83,717,196(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"合　計","1,112","832","956.0900","574.2931","1,530.3831","100.00","83,717,196","48,752,145"
"屏東縣","0","0","0","0","0","0","0","0"
"臺南縣","293","678","305.6562","448.3043","753.9605","49.27","28,825,996","37,823,605"
"雲林縣","0","0","0","0","0","0","0","0"
"嘉義縣","326","46","146.2080","40.4505","186.6585","12.20","20,018,000","4,359,500"
"高雄縣","0","0","0","0","0","0","0","0"
"彰化縣","0","0","0","0","0","0","0","0"
"臺南市","493","108","504.2258","85.5383","589.7641","38.54","34,873,200","6,569,040"
"宜蘭縣","0","0","0","0","0","0","0","0"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"公有","89","18","42.2435","20.4155","62.6590","4.14"
"自有","599","592","467.9128","397.4561","865.3689","57.22"
"公有租用","359","171","375.7877","124.1003","499.8880","33.05"
"私有租用","65","20","70.1460","14.3281","84.4741","5.59"
"私有","0","0","0","0","0","0"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","77","146","52.7645","105.4549","158.2194","10.34"
"中間養成","932","270","833.7044","195.4312","1,029.1356","67.25"
"成魚養成","103","416","69.6211","273.4070","343.0281","22.41"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","54","66","34.5795","33.7569","68.3364","4.47"
"純海水","963","682","851.5290","503.1944","1,354.7234","88.52"
"半淡鹹水","95","84","69.9815","37.3418","107.3233","7.01"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","1","0","1.0290","0","1.0290","0.07"
"今年6月","6","0","9.4547","0","9.4547","0.62"
"今年7月","98","0","125.7853","0","125.7853","8.22"
"今年8月","27","18","47.0632","29.9224","76.9856","5.03"
"今年9月","52","9","62.3801","9.7209","72.1010","4.71"
"今年10月","11","3","24.4535","1.6236","26.0771","1.70"
"今年11月","35","18","104.6361","5.9735","110.6096","7.23"
"今年12月","4","9","1.5801","4.2612","5.8413","0.38"
"明年1月","1","0","0.3770","0","0.3770","0.02"
"明年2月","2","5","0.6376","3.4857","4.1233","0.27"
"明年3月","341","89","258.5981","56.8985","315.4966","20.62"
"明年4月","488","626","283.8502","425.3447","709.1949","46.34"
"明年5月","16","25","8.3085","16.8822","25.1907","1.65"
"明年6月","28","20","27.2539","13.1792","40.4331","2.64"
"明年7月","0","7","0","5.0776","5.0776","0.33"
"明年8月","0","0","0","0","0","0"
"明年9月","2","2","0.6827","1.6559","2.3386","0.15"
"明年10月","0","0","0","0","0","0"
"明年11月","0","1","0","0.2677","0.2677","0.02"
"明年12月","0","0","0","0","0","0"
"後年","0","0","0","0","0","0"
"今年4月","0","0","0","0","0","0"
"今年1月","0","0","0","0","0","0"
"今年3月","0","0","0","0","0","0"
"今年2月","0","0","0","0","0","0"
