"調查年度",90,"放養面積","(公頃)"
"魚種名稱","吳郭魚","放養數量","(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"全國","0","0","0","0","0","0","0","0"
"屏東縣","442","12","143.3603","2.0295","145.3898","2.62","10,531,520","104,025"
"臺南縣","3,031","1,827","1,625.0357","1,081.7609","2,706.7966","48.71","53,660,903","37,771,157"
"雲林縣","1,028","652","376.8709","240.5234","617.3943","11.11","18,909,790","31,954,290"
"嘉義縣","1,421","1,073","552.8492","522.6873","1,075.5365","19.35","26,763,210","19,900,060"
"高雄縣","404","520","123.5359","226.6770","350.2129","6.30","9,047,880","14,304,490"
"彰化縣","567","143","163.5960","27.1892","190.7852","3.43","4,607,773","9,663,096"
"臺南市","279","153","106.7759","62.5471","169.3230","3.05","4,167,090","3,860,500"
"宜蘭縣","159","96","38.4840","21.6628","60.1468","1.08","787,020","501,160"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","666","67","186.7714","15.6234","202.3948","3.64","5,478,980","450,660"
"臺東縣","101","86","15.7450","23.5717","39.3167","0.71","895,880","464,320"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"合　計","8,098","4,629","3,333.0243","2,224.2723","5,557.2966","100.00","134,850,046","118,973,758"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"室內","7","4","2.1889","2.7355","4.9244","0.09"
"室外","8,091","4,625","3,330.8354","2,221.5368","5,552.3722","99.91"
"兼有","0","0","0","0","0","0"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","402","157","128.4123","67.9304","196.3427","3.53"
"中間養成","1,455","1,417","551.0336","591.1370","1,142.1706","20.55"
"成魚養成","5,377","2,344","2,337.5616","1,226.7973","3,564.3589","64.14"
"蓄養可上市之成魚","864","711","316.0168","338.4076","654.4244","11.78"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","7,231","4,330","2,938.8699","2,066.1846","5,005.0545","93.53"
"鹹水","0","0","0","0","0","0"
"半淡鹹水","607","220","244.3052","101.7741","346.0793","6.47"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","7","2","2.1832","0.3599","2.5431","0.05"
"今年6月","194","110","102.3122","58.5291","160.8413","2.89"
"今年7月","590","326","248.9390","172.9234","421.8624","7.59"
"今年8月","763","457","285.5712","226.1108","511.6820","9.21"
"今年9月","906","559","359.4842","279.9508","639.4350","11.51"
"今年10月","1,273","896","501.0221","427.4444","928.4665","16.71"
"今年11月","953","719","364.3101","359.6365","723.9466","13.03"
"今年12月","1,262","821","496.0964","367.8991","863.9955","15.55"
"明年1月","395","168","168.6429","75.4573","244.1002","4.39"
"明年2月","526","159","243.8441","84.5244","328.3685","5.91"
"明年3月","398","131","215.4504","58.3046","273.7550","4.93"
"明年4月","302","107","163.8578","39.8649","203.7227","3.67"
"明年5月","186","42","77.8995","17.3904","95.2899","1.71"
"明年6月","124","19","39.8967","8.9047","48.8014","0.88"
"明年7月","47","10","12.4914","2.3653","14.8567","0.27"
"明年8月","28","11","9.6538","10.1540","19.8078","0.36"
"明年9月","15","13","6.3848","5.9586","12.3434","0.22"
"明年10月","57","20","13.6790","10.0777","23.7567","0.43"
"明年11月","9","11","6.9499","4.2795","11.2294","0.20"
"明年12月","12","7","3.3920","1.1328","4.5248","0.08"
"後年","51","41","10.9636","13.0041","23.9677","0.43"
