"調查年度",95,"放養面積","44.0906(公頃)"
"魚種名稱","其他鱸魚","放養數量","9,979,779(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"合　計","145","6","44.0906","2.9650","47.0556","100.00","9,979,779","343,950"
"屏東縣","9","0","2.5369","0","2.5369","5.39","160,276","0"
"臺南縣","1","1","0.1351","1.3823","1.5174","3.22","3","57,500"
"雲林縣","0","0","0","0","0","0","0","5,450"
"嘉義縣","123","4","38.9097","1.5827","40.4924","86.05","9,693,800","266,000"
"高雄縣","6","0","1.0838","0","1.0838","2.30","101,000","0"
"彰化縣","1","0","0.0444","0","0.0444","0.09","1,500","0"
"臺南市","4","0","1.3807","0","1.3807","2.93","3,200","0"
"宜蘭縣","0","0","0","0","0","0","0","0"
"桃園縣","1","0","0","0","0","0","20,000","0"
"花蓮縣","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","1","0","0","0","0","0","15,000"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"公有","0","1","0","1.3823","1.3823","2.94"
"自有","95","4","29.1723","1.2620","30.4343","64.68"
"公有租用","27","0","7.8987","0","7.8987","16.79"
"私有租用","23","1","7.0196","0.3207","7.3403","15.60"
"私有","0","0","0","0","0","0"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","1","1","0.1351","0","0.1351","0.29"
"中間養成","28","0","7.2924","0","7.2924","15.50"
"成魚養成","116","5","36.6631","2.9650","39.6281","84.22"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","37","1","13.6611","0","13.6611","29.03"
"純海水","22","0","5.4181","0","5.4181","11.51"
"半淡鹹水","86","5","25.0114","2.9650","27.9764","59.45"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","3","0","1.2220","0","1.2220","2.60"
"今年6月","21","0","5.6786","0","5.6786","12.07"
"今年7月","5","0","1.9284","0","1.9284","4.10"
"今年8月","5","2","1.8438","0.6535","2.4973","5.31"
"今年9月","6","0","1.8832","0","1.8832","4.00"
"今年10月","2","0","0.6154","0","0.6154","1.31"
"今年11月","3","0","1.1675","0","1.1675","2.48"
"今年12月","39","2","11.0435","2.0124","13.0559","27.75"
"明年1月","9","0","2.2809","0","2.2809","4.85"
"明年2月","10","1","3.8154","0.2991","4.1145","8.74"
"明年3月","8","0","2.9597","0","2.9597","6.29"
"明年4月","2","0","0.6371","0","0.6371","1.35"
"明年5月","8","0","2.8662","0","2.8662","6.09"
"明年6月","16","1","3.7335","0","3.7335","7.93"
"明年7月","1","0","0.0780","0","0.0780","0.17"
"明年8月","2","0","0.4653","0","0.4653","0.99"
"明年9月","0","0","0","0","0","0"
"明年10月","3","0","0.9946","0","0.9946","2.11"
"明年11月","0","0","0","0","0","0"
"明年12月","1","0","0.5915","0","0.5915","1.26"
"後年","0","0","0","0","0","0"
"今年4月","0","0","0","0","0","0"
"今年1月","1","0","0.2860","0","0.2860","0.61"
"今年3月","0","0","0","0","0","0"
"今年2月","0","0","0","0","0","0"
