"調查年度",92,"放養面積","(公頃)"
"魚種名稱","其他","放養數量","(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"全國","0","0","0","0","0","0","0","0"
"屏東縣","566","4","131.3600","1.0700","132.4300","39.28","97,637,620","86,000"
"臺南縣","156","8","61.0500","4.2500","65.3000","19.37","199,125,500","30,565,000"
"雲林縣","0","0","0","0","0","0","0","0"
"嘉義縣","185","67","61.7000","24.6800","86.3800","25.62","11,655,000","6,316,500"
"高雄縣","8","0","1.4500","0","1.4500","0.43","142,000","115,000"
"彰化縣","1","1","0.0500","0.1900","0.2400","0.07","10,000","100,000"
"臺南市","7","0","4.3900","0","4.3900","1.30","1,210,000","20,300"
"宜蘭縣","39","0","6.7200","0","6.7200","1.99","1,778,480","10,000"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","4","52","0.9800","39.2600","40.2400","11.94","68,016","1,574,872"
"臺東縣","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","4,500"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"合　計","966","132","267.7000","69.4500","337.1500","100.00","311,626,616","38,792,172"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"室內","4","1","0.3200","0.0200","0.3400","0.10"
"室外","962","131","267.3800","69.4300","336.8100","99.90"
"兼有","0","0","0","0","0","0"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","191","0","45.9800","0","45.9800","13.64"
"中間養成","153","10","39.8400","6.7100","46.5500","13.81"
"成魚養成","340","117","117.1500","61.6500","178.8000","53.03"
"蓄養可上市之成魚","282","5","64.7300","1.0900","65.8200","19.52"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","146","79","47.9800","48.9300","96.9100","35.35"
"鹹水","0","0","0","0","0","0"
"半淡鹹水","655","42","161.4100","15.8100","177.2200","64.65"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","15","4","2.1200","1.8800","4.0000","1.19"
"今年6月","87","2","15.4500","1.1400","16.5900","4.92"
"今年7月","69","9","13.9700","5.4200","19.3900","5.75"
"今年8月","102","22","23.3400","11.8500","35.1900","10.44"
"今年9月","66","31","15.5700","25.7500","41.3200","12.26"
"今年10月","132","11","41.4200","3.7000","45.1200","13.38"
"今年11月","150","29","55.6000","11.4500","67.0500","19.89"
"今年12月","156","13","46.4900","5.2700","51.7600","15.35"
"明年1月","68","5","20.1400","1.3900","21.5300","6.39"
"明年2月","42","1","12.4000","0.2800","12.6800","3.76"
"明年3月","48","1","14.5900","0.4200","15.0100","4.45"
"明年4月","10","1","2.8500","0.3500","3.2000","0.95"
"明年5月","4","0","1.8200","0","1.8200","0.54"
"明年6月","2","0","0.6900","0","0.6900","0.20"
"明年7月","0","0","0","0","0","0"
"明年8月","1","0","0.2000","0","0.2000","0.06"
"明年9月","0","1","0","0.2200","0.2200","0.07"
"明年10月","1","0","0.1100","0","0.1100","0.03"
"明年11月","6","0","0.6700","0","0.6700","0.20"
"明年12月","1","1","0.0700","0.3100","0.3800","0.11"
"後年","6","1","0.2000","0.0200","0.2200","0.07"
