"調查年度",94,"放養面積","(公頃)"
"魚種名稱","其他","放養數量","(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"全國","0","0","0","0","0","0","0","0"
"屏東縣","649","159","155.9100","38.4300","194.3400","48.27","23,832,870","4,878,300"
"臺南縣","179","5","54.1400","1.6700","55.8100","13.86","5,347,500","504,500"
"雲林縣","12","0","4.6579","0","4.6579","1.16","523,000","0"
"嘉義縣","157","87","52.2100","33.3200","85.5300","21.24","10,169,900","8,678,250"
"高雄縣","25","3","6.7300","0.7100","7.4400","1.85","811,000","224,700"
"彰化縣","68","4","7.5700","0.8400","8.4100","2.09","2,514,150","751,600"
"臺南市","133","1","25.4700","0.4900","25.9600","6.45","1,412,180","200,000"
"宜蘭縣","49","19","9.8600","4.7100","14.5700","3.62","7,255,000","3,354,000"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","21","0","5.8900","0","5.8900","1.46","1,258,340","1,800"
"臺東縣","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"合　計","1,293","278","322.4379","80.1700","402.6079","100.00","53,123,940","18,593,150"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"室內","13","0","2.0400","0","2.0400","0.51"
"室外","1,280","278","320.3979","80.1700","400.5679","99.49"
"兼有","0","0","0","0","0","0"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","234","5","56.9879","1.7400","58.7279","14.59"
"中間養成","337","64","83.3300","15.9500","99.2800","24.66"
"成魚養成","722","209","182.1200","62.4800","244.6000","60.75"
"蓄養可上市之成魚","0","0","0","0","0","0"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","290","73","72.1179","25.8200","97.9379","24.33"
"鹹水","1,003","205","250.3200","54.3500","304.6700","75.67"
"半淡鹹水","0","0","0","0","0","0"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","49","4","7.7300","1.4900","9.2200","2.30"
"今年6月","83","1","16.7400","0.3800","17.1200","4.27"
"今年7月","79","3","13.3200","1.0800","14.4000","3.59"
"今年8月","100","3","25.3900","0.6300","26.0200","6.50"
"今年9月","150","13","44.1200","4.4700","48.5900","12.13"
"今年10月","97","23","26.2600","7.3900","33.6500","8.40"
"今年11月","87","38","24.7200","14.7300","39.4500","9.85"
"今年12月","171","47","39.6400","12.9500","52.5900","13.13"
"明年1月","104","88","27.2700","21.4200","48.6900","12.15"
"明年2月","67","17","16.8300","5.0200","21.8500","5.45"
"明年3月","70","8","18.7200","1.7700","20.4900","5.11"
"明年4月","81","10","20.7400","3.0200","23.7600","5.93"
"明年5月","47","15","12.2900","4.2100","16.5000","4.12"
"明年6月","39","0","8.8100","0","8.8100","2.20"
"明年7月","25","1","7.2900","0.1300","7.4200","1.85"
"明年8月","15","0","5.2700","0","5.2700","1.32"
"明年9月","14","0","3.6179","0","3.6179","0.90"
"明年10月","3","7","1.0300","1.4800","2.5100","0.63"
"明年11月","3","0","0.5500","0","0.5500","0.14"
"明年12月","0","0","0","0","0","0"
"後年","4","0","0.0800","0","0.0800","0.02"
