"調查年度",101,"放養面積","1,298.96(公頃)"
"魚種名稱","青斑(點帶及瑪拉巴石斑)","放養數量","93,379,397(尾、粒、隻)"
"所屬縣市","已完成調查魚塭口數",,,,,"魚塭面積(公頃)",,,,,"百分比(%)","放養量",,"養殖戶數",,,,,"養殖戶類別統計"
,"第一類(有水權)","第一類(無水權)","第二類","第三類","小計","第一類(有水權)","第一類(無水權)","第二類","第三類","小計",,"在池（尾、粒、隻）","新放養（尾、粒、隻）","第一類(有水權)","第一類(無水權)","第二類","第三類","小計","魚苗戶","養成戶"
"總　計","1,720","1,454","18","2,216","5,408","459.9468","328.5774","2.8378","507.5971","1,298.9591","100.00","55,088,372","93,379,397","418","517","3","789","1,643","255","1,388"
"臺南市","945","3","13","630","1,591","273.1245","1.1422","1.5665","176.0890","451.9222","34.79","2,055,470","31,908,116","192","3","2","182","362","149","213"
"屏東縣","29","930","5","1,215","2,179","6.1497","197.6646","1.2713","265.6101","470.6957","36.24","31,848,820","41,347,445","5","371","1","476","811","38","773"
"雲林縣","1","0","0","15","16","0.5344","0","0","3.6213","4.1557","0.32","4,000","0","1","0","0","3","4","2","2"
"嘉義縣","4","0","0","15","19","1.2923","0","0","1.7727","3.0650","0.24","100,500","8,555,000","1","0","0","5","6","3","3"
"彰化縣","0","0","0","7","7","0","0","0","0.3285","0.3285","0.03","8,000,000","0","0","0","0","2","2","1","1"
"高雄市","640","511","0","250","1,401","164.7148","129.0717","0","48.0961","341.8826","26.32","12,242,682","9,733,686","175","139","0","90","383","54","329"
"宜蘭縣","51","2","0","76","129","8.7919","0.1934","0","10.8255","19.8108","1.53","532,200","1,589,100","24","1","0","26","49","7","42"
"桃園縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"澎湖縣","50","8","0","8","66","5.3392","0.5055","0","1.2539","7.0986","0.55","304,700","246,050","20","3","0","5","26","1","25"
"南投縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"預定收獲統計(經營型態=成魚養成)"
"預定收獲月份","魚塭口數","魚塭面積(公頃)","在池放養量(尾、粒、隻)","新放養量(尾、粒、隻)","預定收獲重量(公噸)"
"今年3月","17","4.5892","399,000","6,000,000","74"
"今年4月","59","11.9336","1,083,200","0","421"
"今年5月","100","23.3557","2,182,800","6,126,800","647"
"今年6月","166","37.6249","3,392,500","125,011","1,112"
"今年7月","85","19.9396","1,548,100","51,011","512"
"今年8月","106","24.7989","2,217,700","108,800","905"
"今年9月","59","13.3859","1,168,900","96,000","396"
"今年10月","125","31.9201","1,952,000","584,536","1,050"
"今年11月","161","43.5109","2,008,300","671,817","834"
"今年12月","527","134.6860","5,576,450","1,356,650","8,149"
"明年1月","85","21.3868","618,000","1,170,000","630"
"明年2月","122","33.7794","609,350","1,430,800","821"
"明年3月","243","64.8711","751,050","6,857,485","1,443"
"水源別統計"
"所屬縣市","魚塭口數",,,"魚塭面積(公頃)",,,"在池放養量(尾、粒、隻)",,,"新放養量(尾、粒、隻)",,,"預定收獲重量(公噸)"
,"淡水","鹹水","淡水","鹹水","淡水","鹹水","淡水","鹹水","淡水","鹹水"
"總　計","85","5,323","17.8606","1,281.0985","759,600","54,328,772","483,000","92,896,397","379","23,392"
"臺南市","1","1,590","0.2386","451.6836","0","2,055,470","4,000","31,904,116","0","2,092"
"屏東縣","43","2,136","9.6326","461.0631","499,500","31,349,320","342,000","41,005,445","75","8,115"
"雲林縣","0","16","0","4.1557","0","4,000","0","0","0","0"
"嘉義縣","0","19","0","3.0650","0","100,500","0","8,555,000","0","50"
"彰化縣","0","7","0","0.3285","0","8,000,000","0","0","0","0"
"高雄市","36","1,365","6.6351","335.2475","177,100","12,065,582","133,000","9,600,686","219","12,455"
"宜蘭縣","4","125","1.0558","18.7550","13,000","519,200","4,000","1,585,100","15","436"
"桃園縣","0","0","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0","0","0"
"澎湖縣","1","65","0.2985","6.8001","70,000","234,700","0","246,050","70","244"
"南投縣","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0"
"經營型態統計─口數、面積(公頃)"
"所屬縣市","無填寫",,"魚苗繁殖",,"種魚繁殖",,"中間養殖",,"成魚養成"
,"魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)"
"總　計","2","0.5300","790","150.0628","99","14.1761","735","171.5182","3,782","962.6720"
"臺南市","0","0","565","127.8610","21","4.9139","291","73.4806","714","245.6667"
"屏東縣","1","0.2621","70","4.0375","37","2.7354","264","60.4114","1,807","403.2493"
"雲林縣","0","0","9","1.5406","3","0.6774","3","1.4033","1","0.5344"
"嘉義縣","0","0","13","1.3592","0","0","1","0.1434","5","1.5624"
"彰化縣","0","0","0","0","2","0.1066","4","0.0153","1","0.2066"
"高雄市","1","0.2679","126","14.9784","27","3.8972","148","34.3136","1,099","288.4255"
"宜蘭縣","0","0","7","0.2861","8","1.2194","5","0.5890","109","17.7163"
"桃園縣","0","0","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","1","0.6262","19","1.1616","46","5.3108"
"南投縣","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0"
"經營型態統計─放養量(尾、粒、隻)"
"所屬縣市","無填寫",,"魚苗繁殖",,"種魚繁殖",,"中間養殖",,"成魚養成"
,"在池","新放養","在池","新放養","在池","新放養","在池","新放養","在池","新放養"
"總　計","0","25,000","3,201,000","20,896,107","3,071,000","5,969,536","5,179,260","27,086,750","43,637,112","39,402,004"
"臺南市","0","0","0","115,607","0","4,534","162,400","23,788,200","1,893,070","7,999,775"
"屏東縣","0","25,000","101,000","8,480,000","47,950","5,000,002","3,921,100","2,307,500","27,778,770","25,534,943"
"雲林縣","0","0","0","0","1,000","0","0","0","3,000","0"
"嘉義縣","0","0","0","8,550,000","0","0","500","0","100,000","5,000"
"彰化縣","0","0","0","0","3,000,000","0","0","0","5,000,000","0"
"高雄市","0","0","3,100,000","3,750,000","22,000","0","1,090,260","411,900","8,030,422","5,571,786"
