"調查年度",95,"放養面積","161.1878(公頃)"
"魚種名稱","其他","放養數量","454,825,939(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"合　計","758","157","161.1878","48.8082","209.9960","100.00","454,825,939","10,882,370"
"屏東縣","334","59","56.1570","12.5509","68.7079","32.72","401,647,755","6,717,000"
"臺南縣","62","10","17.3767","4.3165","21.6932","10.33","8,954,340","182,200"
"雲林縣","13","1","2.3195","0.3770","2.6965","1.28","547,000","14,000"
"嘉義縣","137","79","37.9406","29.0010","66.9416","31.88","10,115,610","3,786,170"
"高雄縣","116","4","23.7473","1.4194","25.1667","11.98","5,020,674","95,000"
"彰化縣","30","0","3.3979","0","3.3979","1.62","195,560","0"
"臺南市","0","0","0","0","0","0","0","0"
"宜蘭縣","34","0","9.5424","0","9.5424","4.54","26,225,000","0"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","17","1","5.8245","0.3311","6.1556","2.93","1,114,000","5,000"
"臺東縣","9","0","1.3142","0","1.3142","0.63","181,000","0"
"澎湖縣","2","1","2.4000","0.3549","2.7549","1.31","10,000","81,000"
"新竹縣","0","2","0","0.4574","0.4574","0.22","0","2,000"
"南投縣","1","0","0.0980","0","0.0980","0.05","15,000","0"
"臺北縣","1","0","0.5500","0","0.5500","0.26","200,000","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","1","0","0.1526","0","0.1526","0.07","50,000","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","1","0","0.3671","0","0.3671","0.17","550,000","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"公有","3","0","2.6274","0","2.6274","1.25"
"自有","614","135","119.0406","41.7112","160.7518","76.73"
"公有租用","29","9","11.9480","3.0392","14.9872","7.15"
"私有租用","110","13","27.0729","4.0578","31.1307","14.86"
"私有","0","0","0","0","0","0"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","197","4","26.6819","2.3850","29.0669","13.84"
"中間養成","80","4","17.4325","1.2606","18.6931","8.90"
"成魚養成","481","149","117.0734","45.1626","162.2360","77.26"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","153","64","37.2194","23.1570","60.3764","28.75"
"純海水","430","22","82.9378","6.1201","89.0579","42.41"
"半淡鹹水","175","71","41.0306","19.5311","60.5617","28.84"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","7","1","2.1463","0.4938","2.6401","1.26"
"今年6月","23","2","5.1570","0.4474","5.6044","2.67"
"今年7月","44","3","6.5664","0.5808","7.1472","3.41"
"今年8月","52","3","9.0115","1.1624","10.1739","4.85"
"今年9月","25","3","6.9209","1.1554","8.0763","3.85"
"今年10月","49","13","10.5689","4.4209","14.9898","7.14"
"今年11月","43","35","10.2405","12.2048","22.4453","10.70"
"今年12月","194","39","37.0420","11.2950","48.3370","23.03"
"明年1月","33","9","8.2475","2.5100","10.7575","5.13"
"明年2月","41","4","8.9622","1.0347","9.9969","4.76"
"明年3月","36","8","7.0805","2.3148","9.3953","4.48"
"明年4月","13","6","3.0297","1.5196","4.5493","2.17"
"明年5月","34","8","8.4132","2.0403","10.4535","4.98"
"明年6月","48","7","10.6782","3.6279","14.3061","6.82"
"明年7月","10","1","2.4434","0.3268","2.7702","1.32"
"明年8月","25","2","4.4253","0.5341","4.9594","2.36"
"明年9月","11","3","2.7661","0.2077","2.9738","1.42"
"明年10月","13","7","3.5504","1.4484","4.9988","2.38"
"明年11月","5","1","1.2325","0.6448","1.8773","0.89"
"明年12月","18","0","5.0969","0","5.0969","2.43"
"後年","30","2","6.7582","0.8386","7.5968","3.62"
"今年4月","1","0","0.2158","0","0.2158","0.10"
"今年1月","1","0","0.1552","0","0.1552","0.07"
"今年3月","1","0","0.3304","0","0.3304","0.16"
"今年2月","0","0","0","0","0","0"
