"調查年度",96,"放養面積","253.8648(公頃)"
"魚種名稱","其他","放養數量","76,642,022(尾、粒、隻)"
"所屬縣市","已完成調查魚塭口數",,,,,"魚塭面積(公頃)",,,,,"百分比(%)","放養量",,"養殖戶數"
,"第一類(有水權)","第一類(無水權)","第二類","第三類","小計","第一類(有水權)","第一類(無水權)","第二類","第三類","小計",,,"第一類(有水權)","第一類(無水權)","第二類","第三類","小計"
"總　計","56","199","69","79","404","40.5570","130.7953","45.0393","37.4732","253.8648","100.00","76,642,022","56","199","69","79","404"
"屏東縣","7","102","30","22","161","2.1817","52.9806","19.2993","11.5883","86.0499","33.90","28,300,990","7","102","30","22","161"
"臺南縣","14","16","5","5","40","15.3727","41.6583","1.6882","3.4105","62.1297","24.47","2,703,430","14","16","5","5","40"
"雲林縣","2","12","12","0","26","2.1869","7.3501","13.6407","0","23.1777","9.13","3,567,280","2","12","12","0","26"
"嘉義縣","30","12","8","7","57","19.2372","8.1627","6.3268","5.1418","38.8685","15.31","32,580,500","30","12","8","7","57"
"高雄縣","2","52","1","21","76","1.0531","18.7072","0.0706","5.4185","25.2494","9.95","1,623,422","2","52","1","21","76"
"彰化縣","0","0","2","2","4","0","0","0.6280","1.3500","1.9780","0.78","238,000","0","0","2","2","4"
"臺南市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"宜蘭縣","1","1","1","0","3","0.5254","0.0364","0.2000","0","0.7618","0.30","157,000","1","1","1","0","3"
"桃園縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"花蓮縣","0","3","10","9","22","0","1.8700","3.1857","2.9162","7.9719","3.14","779,400","0","3","10","9","22"
"臺東縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"新竹縣","0","0","0","1","1","0","0","0","0.1330","0.1330","0.05","10,000","0","0","0","1","1"
"南投縣","0","0","0","2","2","0","0","0","0.1880","0.1880","0.07","18,000","0","0","0","2","2"
"臺北縣","0","0","0","10","10","0","0","0","7.3269","7.3269","2.89","6,660,000","0","0","0","10","10"
"新竹市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","1","0","0","1","0","0.0300","0","0","0.0300","0.01","4,000","0","1","0","0","1"
"臺中縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"預定收獲統計(經營型態=成魚養成)"
"預定收獲月份","魚塭口數","魚塭面積(公頃)","新放養量(尾、粒、隻)"
"今年3月","1","0.0900","15,000"
"今年4月","3","1.4636","415,000"
"今年5月","16","5.8860","6,697,962"
"今年6月","18","17.7884","1,095,300"
"今年7月","10","3.0566","3,500,220"
"今年8月","23","9.2969","7,616,500"
"今年9月","8","3.3086","3,421,700"
"今年10月","24","12.2661","4,665,000"
"今年11月","26","10.8145","1,571,000"
"今年12月","90","55.0609","15,910,719"
"明年1月","14","6.9545","1,022,400"
"明年2月","24","12.6475","2,188,000"
"明年3月","13","3.5426","860,800"
"明年4月","16","17.8249","1,425,000"
"明年5月","16","7.6881","1,879,400"
"明年6月","9","3.1347","696,800"
"明年7月","5","1.4102","505,000"
"明年8月","2","1.1872","22,000"
"明年9月","3","0.7651","410,000"
"明年10月","8","3.1256","274,500"
"明年11月","6","9.3835","47,700"
"明年12月","25","12.4153","14,764,400"
"後年","18","13.3705","3,059,630"
