"調查年度",92,"放養面積","(公頃)"
"魚種名稱","烏魚","放養數量","(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"全國","0","0","0","0","0","0","0","0"
"屏東縣","5","0","1.3800","0","1.3800","0.23","64,350","0"
"臺南縣","215","244","128.3600","192.1900","320.5500","54.55","2,917,850","2,890,800"
"雲林縣","44","0","16.9800","0","16.9800","2.89","256,400","0"
"嘉義縣","198","90","88.6200","40.6200","129.2400","22.00","1,306,500","1,019,320"
"高雄縣","39","5","17.1900","2.3000","19.4900","3.32","256,700","69,000"
"彰化縣","26","9","12.0000","2.9100","14.9100","2.54","553,800","481,000"
"臺南市","58","56","34.6500","27.1600","61.8100","10.52","2,749,500","2,353,430"
"宜蘭縣","3","2","0.7000","0.5800","1.2800","0.22","50,000","1,200"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","10","34","4.3100","17.6300","21.9400","3.73","45,800","287,100"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"合　計","598","440","304.1900","283.3900","587.5800","100.00","8,200,900","7,101,850"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"室內","0","0","0","0","0","0"
"室外","598","440","304.1900","283.3900","587.5800","100.00"
"兼有","0","0","0","0","0","0"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","17","0","9.8100","0","9.8100","1.67"
"中間養成","103","39","42.8400","20.4800","63.3200","10.78"
"成魚養成","469","399","247.8500","261.9900","509.8400","86.77"
"蓄養可上市之成魚","9","2","3.6900","0.9200","4.6100","0.78"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","189","133","85.1200","79.2600","164.3800","44.72"
"鹹水","0","0","0","0","0","0"
"半淡鹹水","162","171","84.7400","118.4400","203.1800","55.28"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","2","1","0.8900","1.2000","2.0900","0.36"
"今年6月","2","1","1.3100","1.8900","3.2000","0.54"
"今年7月","13","2","8.8900","0.5300","9.4200","1.60"
"今年8月","14","8","10.1900","2.3000","12.4900","2.13"
"今年9月","6","7","3.2800","2.9300","6.2100","1.06"
"今年10月","17","13","6.8600","7.0700","13.9300","2.37"
"今年11月","117","160","72.1500","116.7400","188.8900","32.15"
"今年12月","235","157","111.7400","102.6300","214.3700","36.48"
"明年1月","12","12","4.0600","6.2800","10.3400","1.76"
"明年2月","30","28","16.3700","16.3600","32.7300","5.57"
"明年3月","2","4","0.3200","1.3200","1.6400","0.28"
"明年4月","8","0","2.8500","0","2.8500","0.49"
"明年5月","0","1","0","0.6800","0.6800","0.12"
"明年6月","1","1","0.3500","0.5200","0.8700","0.15"
"明年7月","0","0","0","0","0","0"
"明年8月","0","0","0","0","0","0"
"明年9月","2","0","0.4000","0","0.4000","0.07"
"明年10月","2","6","0.2800","2.2100","2.4900","0.42"
"明年11月","29","23","18.0800","12.6200","30.7000","5.22"
"明年12月","34","6","14.6000","3.9400","18.5400","3.16"
"後年","72","10","31.5700","4.1700","35.7400","6.08"
