"調查年度",98,"放養面積","519.8712(公頃)"
"魚種名稱","烏魚","放養數量","7,973,985(尾、粒、隻)"
"所屬縣市","已完成調查魚塭口數",,,,,"魚塭面積(公頃)",,,,,"百分比(%)","放養量",,"養殖戶數",,,,,"養殖戶類別統計"
,"第一類(有水權)","第一類(無水權)","第二類","第三類","小計","第一類(有水權)","第一類(無水權)","第二類","第三類","小計",,"在池（尾、粒、隻）","新放養（尾、粒、隻）","第一類(有水權)","第一類(無水權)","第二類","第三類","小計","魚苗戶","養成戶"
"總　計","138","379","140","495","1,151","60.4327","165.9454","73.4132","220.0799","519.8712","100.00","4,885,050","7,973,985","53","167","63","195","470","10","459"
"屏東縣","3","0","1","21","25","0.8519","0","0.2733","5.0854","6.2106","1.19","102,300","17,400","1","0","1","9","11","1","10"
"臺南縣","63","77","34","128","302","31.2462","41.4787","21.0429","77.7507","171.5185","32.99","320,900","2,631,000","19","26","13","54","111","1","110"
"雲林縣","57","90","52","57","255","23.0459","38.6156","21.9895","19.8212","103.4722","19.90","1,461,600","898,900","27","41","27","17","106","1","104"
"嘉義縣","0","156","1","152","309","0","61.6610","0.0765","62.9648","124.7023","23.99","972,500","1,140,595","0","67","1","63","130","0","130"
"高雄縣","0","33","0","14","47","0","13.4245","0","5.6206","19.0451","3.66","323,850","188,000","0","20","0","4","24","0","24"
"彰化縣","8","9","6","72","95","1.7147","3.6723","2.1711","17.4905","25.0486","4.82","555,700","1,968,090","1","7","1","28","37","6","31"
"臺南市","2","11","0","43","56","1.2358","6.0461","0","27.4492","34.7311","6.68","195,400","25,000","2","3","0","15","20","0","20"
"宜蘭縣","0","1","0","0","1","0","0.3775","0","0","0.3775","0.07","5,000","0","0","1","0","0","1","0","1"
"桃園縣","0","2","0","0","2","0","0.6697","0","0","0.6697","0.13","640,000","1,010,000","0","2","0","0","2","1","1"
"花蓮縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"澎湖縣","2","0","0","0","2","0.4108","0","0","0","0.4108","0.08","1,300","0","2","0","0","0","2","0","2"
"新竹縣","3","0","35","6","44","1.9274","0","18.1496","2.6733","22.7503","4.38","258,500","49,000","1","0","15","4","20","0","20"
"南投縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","11","2","13","0","0","9.7103","1.2242","10.9345","2.10","48,000","46,000","0","0","5","1","6","0","6"
"苗栗縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"預定收獲統計(經營型態=成魚養成)"
"預定收獲月份","魚塭口數","魚塭面積(公頃)","在池放養量(尾、粒、隻)","新放養量(尾、粒、隻)","預定收獲重量(公噸)"
"今年3月","0","0","0","0","0"
"今年4月","0","0","0","0","0"
"今年5月","0","0","0","0","0"
"今年6月","0","0","0","0","0"
"今年7月","0","0","0","0","0"
"今年8月","0","0","0","0","0"
"今年9月","0","0","0","0","0"
"今年10月","0","0","0","0","0"
"今年11月","0","0","0","0","0"
"今年12月","0","0","0","0","0"
"明年1月","0","0","0","0","0"
"明年2月","0","0","0","0","0"
"明年3月","0","0","0","0","0"
"經營型態統計─口數、面積(公頃)"
"所屬縣市","無填寫",,"魚苗繁殖",,"中間養殖",,"成魚養成"
,"魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)"
"總　計","11","5.8615","15","7.0849","67","30.5648","1,059","476.3600"
"屏東縣","0","0","1","0.0905","3","0.6105","21","5.5096"
"臺南縣","0","0","1","0.7031","12","2.9145","289","167.9009"
"雲林縣","10","5.6864","1","2.1242","34","14.4518","211","81.2098"
"嘉義縣","0","0","0","0","1","0.1303","308","124.5720"
"高雄縣","0","0","0","0","2","0.8454","45","18.1997"
"彰化縣","1","0.1751","11","3.9344","2","0.6778","81","20.2613"
"臺南市","0","0","0","0","0","0","56","34.7311"
"宜蘭縣","0","0","0","0","0","0","1","0.3775"
"桃園縣","0","0","1","0.2327","0","0","1","0.4370"
"花蓮縣","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","2","0.4108"
"新竹縣","0","0","0","0","0","0","44","22.7503"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","13","10.9345","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"經營型態統計─放養量(尾、粒、隻)"
"所屬縣市","無填寫",,"魚苗繁殖",,"中間養殖",,"成魚養成"
,"在池","新放養","在池","新放養","在池","新放養","在池","新放養"
"總　計","14,700","35,000","802,000","1,130,000","305,000","744,700","3,763,350","6,064,285"
"屏東縣","0","0","0","0","40,000","0","62,300","17,400"
"臺南縣","0","0","0","20,000","0","557,000","320,900","2,054,000"
"雲林縣","14,700","35,000","100,000","0","107,700","121,700","1,239,200","742,200"
"嘉義縣","0","0","0","0","0","10,000","972,500","1,130,595"
"高雄縣","0","0","0","0","106,000","0","217,850","188,000"
"彰化縣","0","0","102,000","110,000","3,300","10,000","450,400","1,848,090"
"臺南市","0","0","0","0","0","0","195,400","25,000"
"宜蘭縣","0","0","0","0","0","0","5,000","0"
"桃園縣","0","0","600,000","1,000,000","0","0","40,000","10,000"
"花蓮縣","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","1,300","0"
"新竹縣","0","0","0","0","0","0","258,500","49,000"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","48,000","46,000","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
