"調查年度",96,"放養面積","1,064.5604(公頃)"
"魚種名稱","鰻魚","放養數量","137,128,982(尾、粒、隻)"
"所屬縣市","已完成調查魚塭口數",,,,,"魚塭面積(公頃)",,,,,"百分比(%)","放養量",,"養殖戶數"
,"第一類(有水權)","第一類(無水權)","第二類","第三類","小計","第一類(有水權)","第一類(無水權)","第二類","第三類","小計",,,"第一類(有水權)","第一類(無水權)","第二類","第三類","小計"
"總　計","254","304","205","66","830","342.7617","446.4452","167.4674","105.7223","1,064.5604","100.00","137,128,982","254","304","205","66","830"
"屏東縣","2","0","9","3","14","0.9043","0","7.0971","3.5525","11.5539","1.09","7,080,922","2","0","9","3","14"
"臺南縣","40","45","9","6","100","77.9017","113.1701","18.6948","18.2086","227.9752","21.41","16,166,730","40","45","9","6","100"
"雲林縣","72","87","117","2","278","73.5291","70.0493","92.2643","4.5175","240.3602","22.58","43,163,272","72","87","117","2","278"
"嘉義縣","125","150","22","36","334","175.1821","241.2542","25.1725","61.1931","504.9657","47.43","57,309,665","125","150","22","36","334"
"高雄縣","13","8","1","11","33","14.7565","12.7794","1.0523","13.1659","41.7541","3.92","5,191,900","13","8","1","11","33"
"彰化縣","1","14","47","8","70","0.3380","9.1922","23.1864","5.0847","37.8013","3.55","8,212,493","1","14","47","8","70"
"臺南市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"宜蘭縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"桃園縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"澎湖縣","1","0","0","0","1","0.1500","0","0","0","0.1500","0.01","4,000","1","0","0","0","1"
"新竹縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"預定收獲統計(經營型態=成魚養成)"
"預定收獲月份","魚塭口數","魚塭面積(公頃)","新放養量(尾、粒、隻)"
"今年3月","5","1.2973","173,563"
"今年4月","17","3.6025","780,304"
"今年5月","48","16.4671","2,932,576"
"今年6月","74","33.8023","6,218,064"
"今年7月","53","14.6502","2,325,182"
"今年8月","58","22.0605","3,739,481"
"今年9月","54","24.9074","3,057,670"
"今年10月","97","72.9462","9,715,206"
"今年11月","76","73.3498","7,197,155"
"今年12月","336","347.4233","43,410,716"
"明年1月","53","36.0959","5,591,354"
"明年2月","79","62.1936","8,958,132"
"明年3月","81","114.3429","8,985,140"
"明年4月","66","76.7281","7,288,320"
"明年5月","41","31.9337","5,094,000"
"明年6月","29","23.8525","3,746,000"
"明年7月","7","4.4038","803,000"
"明年8月","24","45.6856","5,014,764"
"明年9月","4","1.0409","140,000"
"明年10月","16","13.4975","1,434,222"
"明年11月","10","3.8741","520,222"
"明年12月","21","15.9150","2,424,322"
"後年","9","15.0634","1,080,334"
