"調查年度",91,"放養面積","(公頃)"
"魚種名稱","黑鯛","放養數量","(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"全國","0","0","0","0","0","0","0","0"
"屏東縣","7","10","1.5100","3.1300","4.6400","2.95","56,000","115,000"
"臺南縣","22","21","17.5700","8.3000","25.8700","16.46","564,700","263,000"
"雲林縣","2","0","0.8900","0","0.8900","0.57","50,000","1,500"
"嘉義縣","271","25","74.9400","9.2400","84.1800","53.56","7,707,900","767,120"
"高雄縣","130","1","38.1400","0.7000","38.8400","24.71","2,280,100","39,000"
"彰化縣","13","1","2.3100","0.0900","2.4000","1.53","225,700","10,250"
"臺南市","0","1","0","0.3500","0.3500","0.22","0","22,140"
"宜蘭縣","0","0","0","0","0","0","0","0"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"合　計","445","59","135.3600","21.8100","157.1700","100.00","10,884,400","1,218,010"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"室內","0","0","0","0","0","0"
"室外","445","59","135.3600","21.8100","157.1700","100.00"
"兼有","0","0","0","0","0","0"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","7","1","1.7000","0.1300","1.8300","1.16"
"中間養成","55","7","23.1000","3.8200","26.9200","17.13"
"成魚養成","343","49","98.9800","17.0700","116.0500","73.84"
"蓄養可上市之成魚","40","2","11.5800","0.7900","12.3700","7.87"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","43","6","11.5100","1.8500","13.3600","9.54"
"鹹水","0","0","0","0","0","0"
"半淡鹹水","361","35","113.5300","13.1700","126.7000","90.46"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","0","0","0","0","0","0"
"今年6月","0","0","0","0","0","0"
"今年7月","29","2","7.4300","0.9000","8.3300","5.30"
"今年8月","99","2","27.0800","1.1000","28.1800","17.93"
"今年9月","59","1","15.9900","0.3500","16.3400","10.40"
"今年10月","48","12","18.5500","5.3600","23.9100","15.21"
"今年11月","65","12","24.5400","4.2000","28.7400","18.29"
"今年12月","37","17","12.0000","5.7100","17.7100","11.27"
"明年1月","23","3","5.3600","1.3800","6.7400","4.29"
"明年2月","11","2","2.9100","0.5100","3.4200","2.18"
"明年3月","6","1","2.9100","0.0900","3.0000","1.91"
"明年4月","8","0","2.3200","0","2.3200","1.48"
"明年5月","7","0","1.8000","0","1.8000","1.15"
"明年6月","6","2","1.7900","0.7000","2.4900","1.58"
"明年7月","14","1","3.2600","0.3100","3.5700","2.27"
"明年8月","14","3","4.1900","1.0700","5.2600","3.35"
"明年9月","9","0","2.6400","0","2.6400","1.68"
"明年10月","4","0","1.0800","0","1.0800","0.69"
"明年11月","1","0","0.3100","0","0.3100","0.20"
"明年12月","3","0","0.7600","0","0.7600","0.48"
"後年","2","1","0.4400","0.1300","0.5700","0.36"
