"調查年度",90,"放養面積","(公頃)"
"魚種名稱","觀賞魚","放養數量","(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"全國","0","0","0","0","0","0","0","0"
"屏東縣","358","1","45.2943","0.0288","45.3231","55.59","163,700,550","1,000"
"臺南縣","86","0","14.4908","0","14.4908","17.77","1,741,410","0"
"雲林縣","26","0","2.2441","0","2.2441","2.75","10,580","0"
"嘉義縣","3","1","0.2860","0.0693","0.3553","0.44","19,100","2,000"
"高雄縣","26","0","3.0782","0","3.0782","3.78","425,511","0"
"彰化縣","140","1","11.5524","0.1098","11.6622","14.30","895,600","12,600"
"臺南市","1","0","0.1176","0","0.1176","0.14","3,000","0"
"宜蘭縣","26","0","4.2121","0","4.2121","5.17","1,452,150","50"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0"
"臺東縣","1","0","0.0455","0","0.0455","0.06","5,000","0"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"合　計","667","3","81.3210","0.2079","81.5289","100.00","168,252,901","15,650"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"室內","16","0","0.9935","0","0.9935","1.22"
"室外","647","3","80.2021","0.2079","80.4100","98.63"
"兼有","4","0","0.1254","0","0.1254","0.15"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","224","2","25.9996","0.1386","26.1382","32.06"
"中間養成","215","0","27.3905","0","27.3905","33.60"
"成魚養成","152","1","17.8613","0.0693","17.9306","21.99"
"蓄養可上市之成魚","76","0","10.0696","0","10.0696","12.35"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","626","3","78.1689","0.2079","78.3768","96.28"
"鹹水","0","0","0","0","0","0"
"半淡鹹水","35","0","3.0312","0","3.0312","3.72"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","0","0","0","0","0","0"
"今年6月","22","0","1.9099","0","1.9099","2.34"
"今年7月","108","0","11.4973","0","11.4973","14.10"
"今年8月","107","0","12.5928","0","12.5928","15.45"
"今年9月","85","0","12.3325","0","12.3325","15.13"
"今年10月","110","1","16.6627","0.1098","16.7725","20.57"
"今年11月","67","0","8.9524","0","8.9524","10.98"
"今年12月","74","0","8.4435","0","8.4435","10.36"
"明年1月","15","0","1.3859","0","1.3859","1.70"
"明年2月","13","0","1.3263","0","1.3263","1.63"
"明年3月","11","0","1.1219","0","1.1219","1.38"
"明年4月","28","0","1.8440","0","1.8440","2.26"
"明年5月","11","1","1.2396","0.0288","1.2684","1.56"
"明年6月","1","0","0.1483","0","0.1483","0.18"
"明年7月","0","0","0","0","0","0"
"明年8月","6","0","0.5240","0","0.5240","0.64"
"明年9月","2","0","0.5086","0","0.5086","0.62"
"明年10月","3","0","0.5869","0","0.5869","0.72"
"明年11月","2","0","0.1176","0","0.1176","0.14"
"明年12月","0","1","0","0.0693","0.0693","0.09"
"後年","2","0","0.1268","0","0.1268","0.16"
