"調查年度",94,"放養面積","(公頃)"
"魚種名稱","觀賞魚","放養數量","(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"全國","0","0","0","0","0","0","0","0"
"屏東縣","173","0","12.6200","0","12.6200","33.07","20,300,000","0"
"臺南縣","58","0","4.1200","0","4.1200","10.80","920,500","0"
"雲林縣","22","0","2.7500","0","2.7500","7.21","955,410","0"
"嘉義縣","3","0","0.3300","0","0.3300","0.86","27,000","0"
"高雄縣","28","0","3.2400","0","3.2400","8.49","535,000","0"
"彰化縣","136","2","11.2000","0.2500","11.4500","30.01","2,068,500","23,460"
"臺南市","0","0","0","0","0","0","0","200"
"宜蘭縣","16","0","2.0000","0","2.0000","5.24","680,000","100"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","6","0","1.6500","0","1.6500","4.32","50,750","0"
"臺東縣","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"合　計","442","2","37.9100","0.2500","38.1600","100.00","25,537,160","23,760"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"室內","16","0","1.3200","0","1.3200","3.46"
"室外","420","0","35.8300","0","35.8300","93.89"
"兼有","6","2","0.7600","0.2500","1.0100","2.65"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","155","2","12.5100","0.2500","12.7600","33.44"
"中間養成","188","0","15.4900","0","15.4900","40.59"
"成魚養成","99","0","9.9100","0","9.9100","25.97"
"蓄養可上市之成魚","0","0","0","0","0","0"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","419","2","35.1800","0.2500","35.4300","92.85"
"鹹水","23","0","2.7300","0","2.7300","7.15"
"半淡鹹水","0","0","0","0","0","0"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","17","0","1.3200","0","1.3200","3.47"
"今年6月","33","0","2.0700","0","2.0700","5.45"
"今年7月","61","0","5.3900","0","5.3900","14.19"
"今年8月","51","0","4.7600","0","4.7600","12.53"
"今年9月","46","0","2.6800","0","2.6800","7.05"
"今年10月","50","0","4.8000","0","4.8000","12.63"
"今年11月","23","0","2.4500","0","2.4500","6.45"
"今年12月","49","0","4.0600","0","4.0600","10.69"
"明年1月","13","0","1.0800","0","1.0800","2.84"
"明年2月","11","0","1.3900","0","1.3900","3.66"
"明年3月","3","0","0.5400","0","0.5400","1.42"
"明年4月","4","0","0.0900","0","0.0900","0.24"
"明年5月","5","0","0.5900","0","0.5900","1.55"
"明年6月","5","2","0.6200","0.2500","0.8700","2.29"
"明年7月","2","0","0.2000","0","0.2000","0.53"
"明年8月","4","0","0.1700","0","0.1700","0.45"
"明年9月","2","0","0.1800","0","0.1800","0.47"
"明年10月","2","0","0.4300","0","0.4300","1.13"
"明年11月","4","0","0.1500","0","0.1500","0.39"
"明年12月","4","0","0.3900","0","0.3900","1.03"
"後年","51","0","4.3800","0","4.3800","11.53"
