"調查年度",91,"放養面積","(公頃)"
"魚種名稱","鱒魚","放養數量","(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"全國","0","0","0","0","0","0","0","0"
"屏東縣","0","0","0","0","0","0","0","0"
"臺南縣","0","0","0","0","0","0","0","0"
"雲林縣","2","2","0.7100","1.1000","1.8100","42.29","23,600","33,200"
"嘉義縣","0","0","0","0","0","0","0","0"
"高雄縣","3","1","0.5500","0.4000","0.9500","22.20","43,000","10,000"
"彰化縣","1","0","0.0600","0","0.0600","1.40","9,500","0"
"臺南市","0","0","0","0","0","0","0","0"
"宜蘭縣","9","0","1.4600","0","1.4600","34.11","815,000","0"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"合　計","15","3","2.7800","1.5000","4.2800","100.00","891,100","43,200"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"室內","0","0","0","0","0","0"
"室外","15","3","2.7800","1.5000","4.2800","100.00"
"兼有","0","0","0","0","0","0"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","3","0","0.3000","0","0.3000","7.01"
"中間養成","3","1","0.7800","0.8700","1.6500","38.55"
"成魚養成","5","1","1.0400","0.2300","1.2700","29.67"
"蓄養可上市之成魚","4","1","0.6600","0.4000","1.0600","24.77"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","13","1","2.0700","0.8700","2.9400","68.69"
"鹹水","0","0","0","0","0","0"
"半淡鹹水","2","2","0.7100","0.6300","1.3400","31.31"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","0","0","0","0","0","0"
"今年6月","0","0","0","0","0","0"
"今年7月","1","0","0.0700","0","0.0700","1.64"
"今年8月","4","0","0.3500","0","0.3500","8.18"
"今年9月","1","1","0.1900","0.2300","0.4200","9.81"
"今年10月","2","1","0.6000","0.4000","1.0000","23.36"
"今年11月","0","0","0","0","0","0"
"今年12月","4","1","1.0200","0.8700","1.8900","44.16"
"明年1月","0","0","0","0","0","0"
"明年2月","0","0","0","0","0","0"
"明年3月","0","0","0","0","0","0"
"明年4月","0","0","0","0","0","0"
"明年5月","0","0","0","0","0","0"
"明年6月","3","0","0.5500","0","0.5500","12.85"
"明年7月","0","0","0","0","0","0"
"明年8月","0","0","0","0","0","0"
"明年9月","0","0","0","0","0","0"
"明年10月","0","0","0","0","0","0"
"明年11月","0","0","0","0","0","0"
"明年12月","0","0","0","0","0","0"
"後年","0","0","0","0","0","0"
