"調查年度",90,"放養面積","(公頃)"
"魚種名稱","蜆","放養數量","(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"全國","0","0","0","0","0","0","0","0"
"屏東縣","0","0","0","0","0","0","0","0"
"臺南縣","0","0","0","0","0","0","0","0"
"雲林縣","42","750","17.3356","329.0757","346.4113","22.21","35,263,559","824,328,150"
"嘉義縣","0","0","0","0","0","0","0","0"
"高雄縣","0","0","0","0","0","0","0","0"
"彰化縣","2,436","841","702.7928","248.4697","951.2625","61.00","1,140,885,620","500,788,400"
"臺南市","0","0","0","0","0","0","0","0"
"宜蘭縣","0","2","0","0.1438","0.1438","0.01","0","30,000"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","210","37","223.5012","37.7259","261.2271","16.75","940,550,020","1,814,000"
"臺東縣","2","0","0.5264","0","0.5264","0.03","420,000","1,000"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"合　計","2,690","1,630","944.1560","615.4151","1,559.5711","100.00","2,117,119,199","1,326,961,550"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"室內","4","0","3.2835","0","3.2835","0.21"
"室外","2,686","1,630","940.8725","615.4151","1,556.2876","99.79"
"兼有","0","0","0","0","0","0"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","102","510","35.4905","225.1533","260.6438","16.71"
"中間養成","1,772","729","541.8866","262.7129","804.5995","51.59"
"成魚養成","627","314","199.7518","95.9783","295.7301","18.96"
"蓄養可上市之成魚","189","77","167.0271","31.5706","198.5977","12.73"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","2,689","1,629","943.6913","615.0967","1,558.7880","99.98"
"鹹水","0","0","0","0","0","0"
"半淡鹹水","0","1","0","0.3184","0.3184","0.02"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","2","31","0.9816","13.6126","14.5942","0.94"
"今年6月","71","163","22.9247","83.0696","105.9943","6.80"
"今年7月","255","65","73.2867","18.8070","92.0937","5.91"
"今年8月","369","140","126.6162","48.3596","174.9758","11.22"
"今年9月","347","105","116.2398","40.7389","156.9787","10.07"
"今年10月","507","312","163.0308","128.8755","291.9063","18.72"
"今年11月","496","133","139.6979","42.8632","182.5611","11.71"
"今年12月","136","254","75.3199","91.8668","167.1867","10.72"
"明年1月","49","161","26.7642","51.2717","78.0359","5.00"
"明年2月","69","85","29.5934","32.3714","61.9648","3.97"
"明年3月","129","38","57.3462","16.5226","73.8688","4.74"
"明年4月","101","18","41.1505","8.4468","49.5973","3.18"
"明年5月","48","11","22.3846","3.4142","25.7988","1.65"
"明年6月","54","49","34.5658","14.8450","49.4108","3.17"
"明年7月","19","33","3.9237","9.1423","13.0660","0.84"
"明年8月","17","11","3.5229","3.1089","6.6318","0.43"
"明年9月","9","5","1.9970","2.4316","4.4286","0.28"
"明年10月","6","13","1.7791","4.8062","6.5853","0.42"
"明年11月","5","2","2.6785","0.6871","3.3656","0.22"
"明年12月","1","1","0.3525","0.1741","0.5266","0.03"
"後年","0","0","0","0","0","0"
